Japanese::N5::Reasons & causes | 雨が降っていますから、出かけません。 | Because it is raining, I will not go out. | [a.me.ɡa fɯ.ʔ.te.i.ma.sɯ.ka.ra de.ka.ke.ma.se.ɴ] | [ame ŋa ɸɯ t te ima des kaɾa dekakema seɴ]
Japanese::N5::Reasons & causes | 時間がありませんから、急ぎましょう。 | Because there is no time, let us hurry. | [ji.ka.ɴ.ɡa a.ɾi.ma.se.ɴ.ka.ra i.so.ɡi.ma.ɕoː] | [dʑikaɴ ŋa aɾimaseɴ kaɾa isoŋimaɕoː]
Japanese::N5::Reasons & causes | 今日は休みですから、学校へ行きません。 | Because today is a holiday, I do not go to school. | [kʲoː.ɰa ja.sɯ.mi.de.sɯ.ka.ra ɡa.ʔ.koː.e i.ki.ma.se.ɴ] | [kʲoːβa jasɯmi des kaɾa ŋak koː e ikʲima seɴ]
Japanese::N5::Reasons & causes | バスが来ませんでしたから、遅れました。 | Because the bus did not come, I was late. | [ba.sɯ.ɡa ki.ma.se.ɴ.de.ɕi.ta.ka.ra o.kɯ.ɾe.ma.ɕi.ta] | [bas ŋa kʲimaseɴdeɕta kaɾa okɯɾemaɕta]
Japanese::N5::Reasons & causes | 風邪をひきましたので、休みます。 | Because I caught a cold, I will take the day off. | [ka.ze.o hi.ki.ma.ɕi.ta.no.de ja.sɯ.mi.ma.sɯ̥] | [kaze o hkʲimaɕta node jasɯmi ma͍sᶍ]
Japanese::N5::Reasons & causes | お腹が痛いですから、何も食べません。 | Because my stomach hurts, I will not eat anything. | [o.na.ka.ɡa i.ta.i.de.sɯ.ka.ra na.ni.mo ta.be.ma.se.ɴ] | [onaka ŋa itai des kaɾa nanimo tabema seɴ]
Japanese::N5::Reasons & causes | どうして学校を休んだのですか。 | Why did you take time off school? | [doː.ɕi.te ɡa.ʔ.koː.o ja.sɯ.ɴ.da.no.de.sɯ.ka] | [doːɕte ŋak koː o jasɯnda no des ka]
Japanese::N5::Reasons & causes | なぜ昨日来なかったのですか。 | Why didn't you come yesterday? | [na.ze ki.noː ko.na.kaʔ.ta.no.de.sɯ.ka] | [naze kʲinoː konaka t ta no des ka]
Japanese::N5::Reasons & causes | 暑いですから、エアコンをつけましょう。 | Because it is hot, let us turn on the air conditioner. | [a.tsɯ.i.de.sɯ.ka.ra e.a.ko.ɴ.o tsɯ.ke.ma.ɕoː] | [atsɯi des kaɾa eakoɴ o tsɯkemaɕoː]
Japanese::N5::Reasons & causes | 危険ですから、入らないでください。 | Because it is dangerous, please do not enter. | [ki.ke.ɴ.de.sɯ.ka.ra ha.i.ra.na.i.de kɯ.da.sa.i] | [kʲikeɴ des kaɾa haiɾanai de kɯdasai]
Japanese::N5::Reasons & causes | 用事がありますので、失礼します。 | Because I have business to attend to, I will take my leave. | [joː.ji.ɡa a.ɾi.ma.sɯ.no.de ɕi.tsɯ.reː.ɕi.ma.sɯ̥] | [joːdʑi ŋa aɾimas node ɕitsɯɾeː ɕi ma͍sᶍ]
