Japanese::N5::Transportation & Commuting | 電車で会社に行きます。 | I go to the company by train. | [de̞ɴɕa͍ de̞ ka͍iɕa͍ ni iki ma͍sɨ̥] | [de̞ɴɕa͍ de̞ ka͍iɕa͍ nʲiːki ma͍s]
Japanese::N5::Transportation & Commuting | バスで大学へ通っています。 | I commute to university by bus. | [ba͍sɯ͍ de̞ da͍iɡa͍kɯ͍ e̞ ka͍joːte̞ ima͍sɨ̥] | [ba͍s de̞ da͍iɡa͍kɯ͍ e̞ ka͍joːte͍ima͍s]
Japanese::N5::Transportation & Commuting | 駅から家まで歩いて帰ります。 | I walk home from the station. | [e̞ki ka͍ɾa͍ ie̞ ma͍de̞ a͍ɾɯ͍ite̞ ka͍e̞ɾʲima͍sɨ̥] | [e̞ki ka͍ɾa͍ ie̞ ma͍de̞ a͍ɾɯ͍ite̞ ka͍e̞ɾʲima͍s]
Japanese::N5::Transportation & Commuting | 新幹線で京都へ行きました。 | I went to Kyoto by bullet train. | [ɕiɴka͍ɴse̞ɴ de̞ kjoːto̞ e̞ iki ma͍ɕita͍] | [ɕiŋka͍ɴse̞ɴ de̞ kjoːto̞ e̞ iki ma͍ɕta͍]
Japanese::N5::Transportation & Commuting | タクシーでホテルまで行きました。 | I went to the hotel by taxi. | [ta͍kɯ͍ɕiː de̞ ho̞te̞ɾɯ͍ ma͍de̞ iki ma͍ɕita͍] | [ta͍kɕiː de̞ ho̞te̞ɾɯ͍ ma͍de̞ iki ma͍ɕta͍]
Japanese::N5::Transportation & Commuting | 自転車で図書館へ行きます。 | I go to the library by bicycle. | [d͡ʑite̞ɴɕa͍ de̞ to̞ɕo̞ka͍ɴ e̞ iki ma͍sɨ̥] | [d͡ʑite̞ɴɕa͍ de̞ to̞ɕo̞ka͍ɴ e̞ iki ma͍s]
Japanese::N5::Transportation & Commuting | 飛行機で北海道へ行きます。 | I am going to Hokkaido by airplane. | [hikoːki de̞ ho̞kːa͍idoː e̞ iki ma͍sɨ̥] | [hikoːki de̞ ho̞kːa͍idoː e̞ iki ma͍s]
Japanese::N5::Transportation & Commuting | 家から大学まで何分かかりますか。 | How many minutes does it take from your house to the university? | [ie̞ ka͍ɾa͍ da͍iɡa͍kɯ͍ ma͍de̞ na͍ɴpɯ͍ɴ ka͍ka͍ɾʲima͍sɨ̥ ka͍] | [ie̞ ka͍ɾa͍ da͍iɡa͍kɯ͍ ma͍de̞ na͍mpɯ͍ŋ ka͍ka͍ɾʲima͍ska͍]
Japanese::N5::Transportation & Commuting | バスで三十分かかります。 | It takes 30 minutes by bus. | [ba͍sɯ͍ de̞ sa͍ɴd͡ʑɯ͍pːɯ͍ɴ ka͍ka͍ɾʲima͍sɨ̥] | [ba͍s de̞ sa͍ɴd͡ʑɯ͍pːɯ͍ŋ ka͍ka͍ɾʲima͍s]
Japanese::N5::Transportation & Commuting | 電車でどのくらいかかりますか。 | How long does it take by train? | [de̞ɴɕa͍ de̞ do̞no̞kɯ͍ɾa͍i ka͍ka͍ɾʲima͍sɨ̥ ka͍] | [de̞ɴɕa͍ de̞ do̞no̞kɯ͍ɾa͍i ka͍ka͍ɾʲima͍ska͍] | [de̞ɴɕa͍ de̞ do̞no̞kɯ͍ɾa͍i ka͍ka͍ɾʲima͍ska͍]
Japanese::N5::Transportation & Commuting | 歩いて十五分くらいです。 | It takes about 15 minutes on foot. | [a͍ɾɯ͍ite̞ d͡ʑɯːɡo̞pːɯ͍ɴ kɯ͍ɾa͍i de̞sɨ̥] | [a͍ɾɯ͍ite̞ d͡ʑɯːɡo̞pːɯ͍ŋ kɯ͍ɾa͍i de̞s]
Japanese::N5::Transportation & Commuting | 新宿で山手線に乗り換えます。 | I transfer to the Yamanote Line at Shinjuku. | [ɕiɴd͡ʑɯ͍kɯ͍ de̞ ja͍ma͍no̞te̞se̞ɴ ni no̞ɾʲika͍e̞ma͍sɨ̥] | [ɕiɴd͡ʑɯ͍kɯ͍ de̞ ja͍ma͍no̞te̞se̞ɴ ɲi no̞ɾʲika͍e̞ma͍s]
Japanese::N5::Transportation & Commuting | 地下鉄で空港へ行きます。 | I go to the airport by subway. | [t͡ɕika͍te̞t͡sɯ͍ de̞ kɯːkoː e̞ iki ma͍sɨ̥] | [t͡ɕika͍te̞t͡s de̞ kɯːkoː e̞ iki ma͍s]
Japanese::N5::Transportation & Commuting | 車で友達を迎えに行きます。 | I am going by car to pick up my friend. | [kɯ͍ɾɯ͍ma͍ de̞ to̞mo͍da͍t͡ɕi o̞ mɯ͍ka͍e̞ ni iki ma͍sɨ̥] | [kɯ͍ɾɯ͍ma͍ de̞ to̞mo͍da͍t͡ɕʲi o̞ mɯ͍ka͍e̞ nʲiːki ma͍s]
Japanese::N5::Transportation & Commuting | 船で島へ渡ります。 | I cross to the island by boat. | [fɯ͍ne̞ de̞ ɕima͍ e̞ wa͍ta͍ɾʲima͍sɨ̥] | [fɯ͍ne̞ de̞ ɕima͍ e̞ wa͍ta͍ɾʲima͍s]
Japanese::N5::Transportation & Commuting | 何で学校へ行きますか。 | How do you go to school? | [na͍ɴ de̞ ɡa͍kːoː e̞ iki ma͍sɨ̥ ka͍] | [na͍ɴ de̞ ɡa͍kːoː e̞ iki ma͍ska͍]
Japanese::N5::Transportation & Commuting | 毎朝七時の電車に乗ります。 | I get on the 7 o'clock train every morning. | [ma͍ia͍ɕa͍ ɕit͡ɕi d͡ʑi no̞ de̞ɴɕa͍ ni no̞ɾʲima͍sɨ̥] | [ma͍ia͍ɕa͍ ɕit͡ɕi d͡ʑi no̞ de̞ɴɕa͍ nʲi no̞ɾʲima͍s]
Japanese::N5::Transportation & Commuting | 次の駅で電車を降ります。 | I get off the train at the next station. | [t͡sɯ͍ɡi no̞ e̞ki de̞ de̞ɴɕa͍ o̞ o̞ɾʲima͍sɨ̥] | [t͡sɯ͍ɡʲi no̞ e̞ki de̞ de̞ɴɕa͍ o̞ o̞ɾʲima͍s]
Japanese::N5::Transportation & Commuting | 切符を二枚買いました。 | I bought two tickets. | [kipːɯ͍ o̞ ɲima͍i ka͍i ma͍ɕita͍] | [kipːɯ͍ o̞ ɲima͍i ka͍ima͍ɕta͍]
Japanese::N5::Transportation & Commuting | 定期券を見せてください。 | Please show your commuter pass. | [teːkike̞ɴ o̞ mise̞te̞ kɯ͍da͍sa͍i] | [teːkike̞ɴ o̞ mise̞te̞ kɯ͍da͍sa͍i]
Japanese::N5::Transportation & Commuting | バス停でバスを待っています。 | I am waiting for the bus at the bus stop. | [ba͍sɯ͍teː de̞ ba͍sɯ͍ o̞ ma͍tːe̞ ima͍sɨ̥] | [ba͍steː de̞ ba͍s o̞ ma͍tːe͍ima͍s]
Japanese::N5::Transportation & Commuting | 終電に間に合いました。 | I made it in time for the last train. | [ɕɯːde̞ɴ ni ma͍ɲia͍i ma͍ɕita͍] | [ɕɯːde̞ɴ ɲi ma͍ɲia͍ima͍ɕta͍]
Japanese::N5::Transportation & Commuting | 始発の電車は何時ですか。 | What time is the first train? | [ɕiha͍t͡sɯ͍ no̞ de̞ɴɕa͍ wa̠ na͍ɴd͡ʑi de̞sɨ̥ ka͍] | [ɕiha͍t͡s no̞ de̞ɴɕa͍ wa̠ na͍ɴd͡ʑi de̞ska͍]
Japanese::N5::Transportation & Commuting | 新幹線は速いです。 | The bullet train is fast. | [ɕiɴka͍ɴse̞ɴ wa̠ ha͍ja͍i de̞sɨ̥] | [ɕiŋka͍ɴse̞ɴ wa̠ ha͍ja͍i de̞s]
Japanese::N5::Transportation & Commuting | 飛行機のチケットは高いです。 | Airplane tickets are expensive. | [hikoːki no̞ t͡ɕike̞tːo̞ wa̠ ta͍ka͍i de̞sɨ̥] | [hikoːki no̞ t͡ɕike̞tːo̞ wa̠ ta͍ka͍i de̞s]
Japanese::N5::Transportation & Commuting | 自動車でドライブに行きます。 | I am going for a drive by car. | [d͡ʑidoːɕa͍ de̞ do̞ɾa͍ibɯ͍ ni iki ma͍sɨ̥] | [d͡ʑidoːɕa͍ de̞ do̞ɾa͍ibɯ͍ nʲiːki ma͍s]
Japanese::N5::Transportation & Commuting | 横断歩道を渡ります。 | I cross the pedestrian crossing. | [oːda͍ɴho̞doː o̞ wa͍ta͍ɾʲima͍sɨ̥] | [oːda͍mho̞doː o̞ wa͍ta͍ɾʲima͍s]
Japanese::N5::Transportation & Commuting | 角を右に曲がってください。 | Please turn right at the corner. | [ka͍do̞ o̞ miɡi ni ma͍ɡa͍tːe̞ kɯ͍da͍sa͍i] | [ka͍do̞ o̞ miɡʲi ɲi ma͍ɡa͍tːe̞ kɯ͍da͍sa͍i]
Japanese::N5::Transportation & Commuting | 信号を左に曲がります。 | I turn left at the traffic light. | [ɕiɴɡoː o̞ hida͍ɾʲi ni ma͍ɡa͍ɾʲima͍sɨ̥] | [ɕiŋɡoː o̞ hida͍ɾʲi ɲi ma͍ɡa͍ɾʲima͍s]
Japanese::N5::Transportation & Commuting | まっすぐ進んでください。 | Please go straight ahead. | [ma͍sːɯ͍ɡɯ͍ sɯ͍sɯ͍ɴde̞ kɯ͍da͍sa͍i] | [ma͍sːɯ͍ɡɯ͍ sɯ͍sɯ͍ɴde̞ kɯ͍da͍sa͍i]
Japanese::N5::Transportation & Commuting | 橋を渡ると駅があります。 | If you cross the bridge, there is a station. | [ha͍ɕi o̞ wa͍ta͍ɾɯ͍ to̞ e̞ki ɡa̠ a̠ɾʲima͍sɨ̥] | [ha͍ɕi o̞ wa͍ta͍ɾɯ͍ to̞ e̞ki ɡa͍ a͍ɾʲima͍s]
Japanese::N5::Transportation & Commuting | 駐車場に車を止めます。 | I park the car in the parking lot. | [t͡ɕɯːɕa͍d͡ʑoː ni kɯ͍ɾɯ͍ma͍ o̞ to̞me̞ma͍sɨ̥] | [t͡ɕɯːɕa͍d͡ʑoː ɲi kɯ͍ɾɯ͍ma͍ o̞ to̞me̞ma͍s]
Japanese::N5::Transportation & Commuting | 空港までタクシーで一時間です。 | It takes one hour to the airport by taxi. | [kɯːkoː ma͍de̞ ta͍kɯ͍ɕiː de̞ it͡ɕid͡ʑika͍ɴ de̞sɨ̥] | [kɯːkoː ma͍de̞ ta͍kɕiː de̞ it͡ɕid͡ʑika͍ɴ de̞s]
Japanese::N5::Transportation & Commuting | バスが遅れて来ました。 | The bus came late. | [ba͍sɯ͍ ɡa̠ o̞kɯ͍ɾe̞te̞ ki ma͍ɕita͍] | [ba͍s ɡa͍ o̞kɯ͍ɾe̞te̞ ki ma͍ɕta͍]
Japanese::N5::Transportation & Commuting | 電車はとても込んでいました。 | The train was very crowded. | [de̞ɴɕa͍ wa̠ to̞te̞mo̞ ko̞ɴde̞ ima͍ɕita͍] | [de̞ɴɕa͍ wa̠ to̞te̞mo̞ ko̞ɴde͍ima͍ɕta͍]
