Japanese::N5::Weather, Seasons, Hobbies | 今日はいい天気だと思います。 | I think the weather is nice today. | [kʲoː.ɰa.iː.te̞ɴ.ki.da.to.o.mo.i.ma.sɯ̥] | [kʲoːwa.iːte̞ŋkida.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 明日は雨が降ると思います。 | I think it will rain tomorrow. | [a.ɕi.ta.ɰa.a.me.ɡa.ɸɯ.ɾɯ.to.o.mo.i.ma.sɯ̥] | [aɕtawa.ameɡa.ɸɯɾɯtoˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 春が好きだと思います。 | I think I like spring. | [ha.ɾɯ.ɡa.sɯ.ki.da.to.o.mo.i.ma.sɯ̥] | [haɾɯɡa.sɯkida.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 夏は暑いと思います。 | I think summer is hot. | [na.tsɯ.ɰa.a.tsɯ.i.to.o.mo.i.ma.sɯ̥] | [natsɯwa.atsɯi.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 秋は涼しいと思います。 | I think autumn is cool. | [a.ki.ɰa.sɯ.zɯ.ɕi.i.to.o.mo.i.ma.sɯ̥] | [akiwa.sɯzɯɕiː.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 冬はとても寒いと思います。 | I think winter is very cold. | [ɸɯ.yɯ.ɰa.to.te.mo.sa.mɯ.i.to.o.mo.i.ma.sɯ̥] | [ɸɯyɯwa.totemo.samɯi.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 彼の趣味は写真だと思います。 | I think his hobby is photography. | [ka.ne.no.ɕʲɯ.mi.ɰa.ɕa.ɕiɴ.da.to.o.mo.i.ma.sɯ̥] | [kanenˑɕʲɯmiwa.ɕaɕiɳda.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 私の趣味は読書だと思います。 | I think my hobby is reading. | [ɰa.ta.ɕi.no.ɕʲɯ.mi.ɰa.do.kɯ.ɕʲo.da.to.o.mo.i.ma.sɯ̥] | [wataɕino.ɕʲɯmiwa.dokɯɕʲoda.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | スポーツはおもしろいと思います。 | I think sports are interesting. | [sɯ.poː.tsɯ.ɰa.o.mo.ɕi.ɾo.i.to.o.mo.i.ma.sɯ̥] | [sɯpoːtsɯwa.omoɕiɾoi.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 音楽を聴くのが楽しいと思います。 | I think listening to music is fun. | [oɴ.ɡa.kɯ.o.ki.kɯ.no.ɡa.ta.no.ɕi.i.to.o.mo.i.ma.sɯ̥] | [oŋɡakɯo.kikɯnoɡa.tanoɕiː.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 北海道の冬は厳しいと思います。 | I think winter in Hokkaido is harsh. | [ho.kːa.i.doː.no.ɸɯ.yɯ.ɰa.ki.mi.ɕi.i.to.o.mo.i.ma.sɯ̥] | [hokkaidoːno.ɸɯyɯwa.kimiɕiː.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 京都の秋はきれいだと思います。 | I think autumn in Kyoto is beautiful. | [kʲoː.to.no.a.ki.ɰa.ki.ɾe.i.da.to.o.mo.i.ma.sɯ̥] | [kʲoːtono.akiwa.kiɾeːda.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 映画を見るのが趣味だと思います。 | I think watching movies is my hobby. | [eː.ɡa.o.mi.ɾɯ.no.ɡa.ɕʲɯ.mi.da.to.o.mo.i.ma.sɯ̥] | [eːgao.miɾɯnoɡa.ɕʲɯmida.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 料理をするのは楽しいと思います。 | I think cooking is fun. | [ɾʲoː.ɾi.o.sɯ.ɾɯ.no.ɰa.ta.no.ɕi.i.to.o.mo.i.ma.sɯ̥] | [ɾʲoːɾio.sɯɾɯnowa.tanoɕiː.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 外は風が強いと思います。 | I think it is windy outside. | [so.to.ɰa.ka.ze.ɡa.tsɯ.yo.i.to.o.mo.i.ma.sɯ̥] | [sotowa.kazeɡa.tsɯyoi.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 空が暗いと思います。 | I think the sky is dark. | [so.ɾa.ɡa.kɯ.ɾa.i.to.o.mo.i.ma.sɯ̥] | [soɾaɡa.kɯɾai.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 今日は曇ると思います。 | I think it will be cloudy today. | [kʲoː.ɰa.kɯ.mɯ.ɾɯ.to.o.mo.i.ma.sɯ̥] | [kʲoːwa.kɯmɯɾɯ.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 雪が降ると思います。 | I think it will snow. | [yɯ.ki.ɡa.ɸɯ.ɾɯ.to.o.mo.i.ma.sɯ̥] | [yɯkiɡa.ɸɯɾɯtoˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 彼の新しい趣味は釣りだと思います。 | I think his new hobby is fishing. | [ka.ne.no.a.ta.ɾa.ɕi.i.ɕʲɯ.mi.ɰa.tsɯ.ɾi.da.to.o.mo.i.ma.sɯ̥] | [kanen.ataraɕiː.ɕʲɯmiwa.tsɯɾida.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 散歩をするのが好きだと思います。 | I think I like taking walks. | [saɴ.po.o.sɯ.ɾɯ.no.ɡa.sɯ.ki.da.to.o.mo.i.ma.sɯ̥] | [sampoo.sɯɾɯnoɡa.sɯkida.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 今年の夏は暑いと思います。 | I think this summer will be hot. | [ko.to.ɕi.no.na.tsɯ.ɰa.a.tsɯ.i.to.o.mo.i.ma.sɯ̥] | [kotoɕino.natsɯwa.atsɯi.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 旅をするのはいい趣味だと思います。 | I think traveling is a good hobby. | [ta.bi.o.sɯ.ɾɯ.no.ɰa.i.i.ɕʲɯ.mi.da.to.o.mo.i.ma.sɯ̥] | [tabio.sɯɾɯnowa.iː.ɕʲɯmida.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 台風が来ると思います。 | I think a typhoon is coming. | [ta.i.ɸɯː.ɡa.kɯ.ɾɯ.to.o.mo.i.ma.sɯ̥] | [taiɸɯːɡa.kɯɾɯtoˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 春は花火がきれいだと思います。 | I think fireworks in spring are beautiful. | [ha.ɾɯ.ɰa.ha.na.bi.ɡa.ki.ɾe.i.da.to.o.mo.i.ma.sɯ̥] | [haɾɯwa.hanabiɡa.kiɾeːda.toˑmoːmasɯ̥]
Japanese::N5::Weather, Seasons, Hobbies | 水泳はとてもいい運動だと思います。 | I think swimming is very good exercise. | [sɯ.i.eː.ɰa.to.te.mo.i.i.ɯɴ.doː.da.to.o.mo.i.ma.sɯ̥] | [sɯieːwa.totemo.iː.ɯndoːda.toˑmoːmasɯ̥]
