English::A1::Food & drink | I like apples. | أنا أحب التفاح. | [aɪ̯ laɪ̯k ˈæ.pl̩z] | [aɪ̯ laɪ̯k ˈæ.pl̩z]
English::A1::Food & drink | She drinks tea. | هي تشرب الشاي. | [ʃiː drɪŋks tiː] | [ʃiː drɪŋks tiː]
English::A1::Food & drink | He wants some water. | هو يريد بعض الماء. | [hiː wɒnts sʌm ˈwɔː.tə] | [hiː wɒnts səm ˈwɔː.tə]
English::A1::Food & drink | Do you have any milk? | هل لديك أي حليب؟ | [d uː j uː hæv ˈɛ.ni mɪlk] | [də jə hæv ˈɛ.ni mɪlk]
English::A1::Food & drink | I do not eat meat. | أنا لا آكل اللحم. | [aɪ̯ d uː nɒt iːt miːt] | [aɪ̯ dəʊ̯nt iːt miːt]
English::A1::Food & drink | Bread is on the table. | الخبز على الطاولة. | [brɛd ɪz ɒn ðə ˈteɪ̯.bl̩] | [brɛd ɪz ɒn ðə ˈteɪ̯.bl̩]
English::A1::Food & drink | We need some cheese. | نحتاج إلى بعض الجبن. | [wiː niːd sʌm tʃiːz] | [wiː niːd səm tʃiːz]
English::A1::Food & drink | Is there any coffee left? | هل هناك أي قهوة متبقية؟ | [ɪz ðɛː ɹ ˈɛ.ni ˈkɒ.fi lɛft] | [ɪz ðɛə ɹ ˈɛ.ni ˈkɒ.fi lɛft]
English::A1::Food & drink | I would like an orange. | أود الحصول على برتقالة. | [aɪ̯ wʊd laɪ̯k ən ˈɒ.rɪndʒ] | [aɪ̯d laɪ̯k ən ˈɒ.rɪndʒ]
English::A1::Food & drink | She buys some rice. | هي تشتري بعض الأرز. | [ʃiː baɪ̯z sʌm raɪ̯s] | [ʃiː baɪ̯z səm raɪ̯s]
English::A1::Food & drink | They eat chicken for dinner. | هم يأكلون الدجاج على العشاء. | [ðeɪ̯ iːt ˈtʃɪ.kɪn fɔː ˈdɪ.nə] | [ðeɪ̯ iːt ˈtʃɪ.kɪn fə ˈdɪ.nə]
English::A1::Food & drink | Do we have any sugar? | هل لدينا أي سكر؟ | [d uː wiː hæv ˈɛ.ni ˈʃʊ.ɡə] | [də wiː hæv ˈɛ.ni ˈʃʊ.ɡə]
English::A1::Food & drink | Fish is good for health. | السمك مفيد للصحة. | [fɪʃ ɪz ɡʊd fɔː hɛlθ] | [fɪʃ ɪz ɡʊd fə hɛlθ]
English::A1::Food & drink | I want a banana. | أريد موزة. | [aɪ̯ wɒnt ə bə.ˈnɑː.nə] | [aɪ̯ wɒnt ə bə.ˈnɑː.nə]
English::A1::Food & drink | She likes fruit. | هي تحب الفاكهة. | [ʃiː laɪ̯ks fruːt] | [ʃiː laɪ̯ks fruːt]
English::A1::Food & drink | Are there any vegetables? | هل هناك أي خضراوات؟ | [ɑː ðɛː ɹ ˈɛ.ni ˈvɛdʒ.tə.bl̩z] | [ə ðɛə ɹ ˈɛ.ni ˈvɛdʒ.tə.bl̩z]
English::A1::Food & drink | He drinks fruit juice. | هو يشرب عصير الفاكهة. | [hiː drɪŋks fruːt dʒuːs] | [hiː drɪŋks fruːt dʒuːs]
English::A1::Food & drink | I have some eggs. | لدي بعض البيض. | [aɪ̯ hæv sʌm ɛɡz] | [aɪ̯ hæv səm ɛɡz]
English::A1::Food & drink | Pass the salt, please. | مرر الملح، من فضلك. | [pɑːs ðə sɔːlt pliːz] | [pɑːs ðə sɔːlt pliːz]
English::A1::Food & drink | There is no butter. | لا يوجد زبدة. | [ðɛː ɹ ɪz nəʊ̯ ˈbʌ.tə] | [ðɛəz nəʊ̯ ˈbʌ.tə]
English::A1::Food & drink | Would you like some soup? | هل ترغب في بعض الحساء؟ | [wʊd j uː laɪ̯k sʌm suːp] | [wəd jə laɪ̯k səm suːp]
English::A1::Food & drink | She cooks pasta. | هي تطبخ المعكرونة. | [ʃiː kʊks ˈpæs.tə] | [ʃiː kʊks ˈpæs.tə]
English::A1::Food & drink | We drink cold water. | نحن نشرب ماءً بارداً. | [wiː drɪŋk kəʊ̯ld ˈwɔː.tə] | [wiː drɪŋk kəʊ̯ld ˈwɔː.tə]
English::A1::Food & drink | He eats a sandwich. | هو يأكل شطيرة. | [hiː iːts ə ˈsæn.wɪdʒ] | [hiː iːts ə ˈsæm.wɪdʒ]
English::A1::Food & drink | Do you want some cake? | هل تريد بعض الكعك؟ | [d uː j uː wɒnt sʌm keɪ̯k] | [də jə wɒnt səm keɪ̯k]
English::A1::Food & drink | I do not like tomatoes. | أنا لا أحب الطماطم. | [aɪ̯ d uː nɒt laɪ̯k tə.ˈmɑː.təʊ̯z] | [aɪ̯ dəʊ̯nt laɪ̯k tə.ˈmɑː.təʊ̯z]
English::A1::Food & drink | She eats an ice cream. | هي تأكل مثلجات. | [ʃiː iːts ən aɪ̯s kriːm] | [ʃiː iːts ən aɪ̯s kriːm]
English::A1::Food & drink | There are some potatoes. | يوجد بعض البطاطس. | [ðɛː ɹ ɑː sʌm pə.ˈteɪ̯.təʊ̯z] | [ðɛə ɹ ə səm pə.ˈteɪ̯.təʊ̯z]
English::A1::Food & drink | Pizza is tasty. | البيتزا لديدة. | [ˈpiːt.sə ɪz ˈteɪ̯.sti] | [ˈpiːt.sə ɪz ˈteɪ̯.sti]
English::A1::Food & drink | We eat dinner together. | نحن نتناول العشاء معاً. | [wiː iːt ˈdɪ.nə tə.ˈɡɛ.ðə] | [wiː iːt ˈdɪ.nə tə.ˈɡɛ.ðə]
