Japanese::N5::Preferences & simple descriptions | 日本料理が好きです。 | I like Japanese food. | [ni.ho.ɴ.ʁyoː.ʁi.ga. ꜜ sɯ.ki.de.sɯ̥. ◌̄] | [ni.ho.ɴ.ʁyoː.ʁi.ɡa.sɯ.ki.de.sɯ]
Japanese::N5::Preferences & simple descriptions | 魚がきらいではありません。 | I do not dislike fish. | [sa.ka.na.ga. ꜜ ki.ʁa.i.de.ɰa.a.ʁi.ma.se.ɴ. ◌̄] | [sa.ka.na.ɡa.ki.ʁa.i.de.ɰa.a.ʁi.ma.se.ɴ]
Japanese::N5::Preferences & simple descriptions | スポーツが好きですか。 | Do you like sports? | [sɯ.poː.tsɯ.ga. ꜜ sɯ.ki.de.sɯ.ka. ◌̄] | [sɯ.poː.tsɯ.ɡa.sɯ.ki.de.sɯ.ka]
Japanese::N5::Preferences & simple descriptions | はい、とても好きです。 | Yes, I like sports very much. | [ha.i. ꜜ to.te.mo.sɯ.ki.de.sɯ̥. ◌̄] | [ha.i.to.te.mo.sɯ.ki.de.sɯ]
Japanese::N5::Preferences & simple descriptions | 富士山は高い山です。 | Mt. Fuji is a high mountain. | [fɯ.ʑi.sa.ɴ.ɰa. ꜜ ta.ka.i.ya.ma.de.sɯ̥. ◌̄] | [fɯ.ʑi.sa.ɴ.ɰa.ta.ka.i.ya.ma.de.sɯ]
Japanese::N5::Preferences & simple descriptions | このお茶は熱いです。 | This tea is hot. | [ko.no.o.tɕa.ɰa. ꜜ a.tsɯ.i.de.sɯ̥. ◌̄] | [ko.no.o.tɕa.ɰa.a.tsɯ.i.de.sɯ]
Japanese::N5::Preferences & simple descriptions | 昨日は寒かったです。 | Yesterday was cold. | [ki.noː.ɰa. ꜜ sa.mɯ.ka me.ta.de.sɯ̥. ◌̄] | [ki.noː.ɰa.sa.mɯ.ka.ta.de.sɯ]
Japanese::N5::Preferences & simple descriptions | 先週のテストは難しくなかったです。 | Last week's test was not difficult. | [se.ɴ.ɕyɯː.no.te.sɯ.to.ɰa. ꜜ na.zɯ.ka.ɕi.ka me.ta.de.sɯ̥. ◌̄] | [se.ɴ.ɕyɯː.no.te.sɯ.to.ɰa.na.zɯ.ka.ɕi.ka.ta.de.sɯ]
Japanese::N5::Preferences & simple descriptions | 京都は静かな町です。 | Kyoto is a quiet city. | [kyoː.to.ɰa. ꜜ ɕi.zɯ.ka.na.ma.tɕi.de.sɯ̥. ◌̄] | [kyoː.to.ɰa.ɕi.zɯ.ka.na.ma.tɕi.de.sɯ]
Japanese::N5::Preferences & simple descriptions | 東京は賑やかでした。 | Tokyo was lively. | [toː.kyoː.ɰa. ꜜ ni.gi.ya.ka.de.ɕi.ta. ◌̄] | [toː.kyoː.ɰa.ni.ɡi.ya.ka.de.ɕi.ta]
Japanese::N5::Preferences & simple descriptions | この公園はあまり有名ではありません。 | This park is not very famous. | [ko.no.koː.e.ɴ.ɰa. ꜜ a.ma.ʁi.yɯː.meː.de.ɰa.a.ʁi.ma.se.ɴ. ◌̄] | [ko.no.koː.e.ɴ.ɰa.a.ma.ʁi.yɯː.meː.de.ɰa.a.ʁi.ma.se.ɴ]
Japanese::N5::Preferences & simple descriptions | 映画は面白かったです。 | The movie was interesting. | [eː.ga.ɰa. ꜜ o.mo.ɕi.ʁo.ka me.ta.de.sɯ̥. ◌̄] | [eː.ɡa.ɰa.o.mo.ɕi.ʁo.ka.ta.de.sɯ]
Japanese::N5::Preferences & simple descriptions | 天気はあまりよくなかったです。 | The weather was not very good. | [te.ɴ.ki.ɰa. ꜜ a.ma.ʁi.yo.kɯ.na.ka me.ta.de.sɯ̥. ◌̄] | [te.ɴ.ki.ɰa.a.ma.ʁi.yo.kɯ.na.ka.ta.de.sɯ]
Japanese::N5::Preferences & simple descriptions | この部屋は狭いです。 | This room is small. | [ko.no.he.ya.ɰa. ꜜ se.ma.i.de.sɯ̥. ◌̄] | [ko.no.çe.ya.ɰa.se.ma.i.de.sɯ]
Japanese::N5::Preferences & simple descriptions | あの図書館は広いです。 | That library over there is spacious. | [a.no.to.ɕo.ka.ɴ.ɰa. ꜜ çi.ʁo.i.de.sɯ̥. ◌̄] | [a.no.to.ɕo.ka.ɴ.ɰa.çi.ʁo.i.de.sɯ]
Japanese::N5::Preferences & simple descriptions | 日本の食べ物は美味しいです。 | Japanese food is delicious. | [ni.ho.ɴ.no.ta.be.mo.no.ɰa. ꜜ o.i.ɕiː.de.sɯ̥. ◌̄] | [ni.ho.ɴ.no.ta.be.mo.no.ɰa.o.i.ɕiː.de.sɯ]
Japanese::N5::Preferences & simple descriptions | コーヒーはあまり好きではありません。 | I do not like coffee very much. | [koː.çiː.ɰa. ꜜ a.ma.ʁi.sɯ.ki.de.ɰa.a.ʁi.ma.se.ɴ. ◌̄] | [koː.çiː.ɰa.a.ma.ʁi.sɯ.ki.de.ɰa.a.ʁi.ma.se.ɴ]
Japanese::N5::Preferences & simple descriptions | どんな音楽が好きですか。 | What kind of music do you like? | [do.ɴ.na.o.ɴ.ga.kɯ.ga. ꜜ sɯ.ki.de.sɯ.ka. ◌̄] | [do.ɴ.na.o.ɴ.ɡa.kɯ.ɡa.sɯ.ki.de.sɯ.ka]
Japanese::N5::Preferences & simple descriptions | ロックが好きです。 | I like rock music. | [ro me.kɯ.ga. ꜜ sɯ.ki.de.sɯ̥. ◌̄] | [ʁo.kɯ.ɡa.sɯ.ki.de.sɯ]
Japanese::N5::Preferences & simple descriptions | この鞄はとても重いです。 | This bag is very heavy. | [ko.no.ka.ba.ɴ.ɰa. ꜜ to.te.mo.o.mo.i.de.sɯ̥. ◌̄] | [ko.no.ka.ba.ɴ.ɰa.to.te.mo.o.mo.i.de.sɯ]
Japanese::N5::Preferences & simple descriptions | その荷物は軽いです。 | That luggage is light. | [so.no.ni.mo.tsɯ.ɰa. ꜜ ka.ʁɯ.i.de.sɯ̥. ◌̄] | [so.no.ni.mo.tsɯ.ɰa.ka.ʁɯ.i.de.sɯ]
Japanese::N5::Preferences & simple descriptions | 田中さんはとても親切な人です。 | Mr. Tanaka is a very kind person. | [ta.na.ka.sa.ɴ.ɰa. ꜜ to.te.mo.ɕi.ɴ.se.tsɯ.na.hi.to.de.sɯ̥. ◌̄] | [ta.na.ka.sa.ɴ.ɰa.to.te.mo.ɕi.ɴ.se.tsɯ.na.çi.to.de.sɯ]
Japanese::N5::Preferences & simple descriptions | 試験は少し難しかったです。 | The exam was a little difficult. | [ɕi.ke.ɴ.ɰa. ꜜ sɯ.ko.ɕi.na.zɯ.ka.ɕi.ka me.ta.de.sɯ̥. ◌̄] | [ɕi.ke.ɴ.ɰa.sɯ.ko.ɕi.na.zɯ.ka.ɕi.ka.ta.de.sɯ]
Japanese::N5::Preferences & simple descriptions | この車は古いです。 | This car is old. | [ko.no.kɯ.ʁɯ.ma.ɰa. ꜜ fɯ.ʁɯ.i.de.sɯ̥. ◌̄] | [ko.no.kɯ.ʁɯ.ma.ɰa.fɯ.ʁɯ.i.de.sɯ]
Japanese::N5::Preferences & simple descriptions | あの建物は新しくないです。 | That building over there is not new. | [a.no.ta.te.mo.no.ɰa. ꜜ a.ta.ʁa.ɕi.kɯ.na.i.de.sɯ̥. ◌̄] | [a.no.ta.te.mo.no.ɰa.a.ta.ʁa.ɕi.kɯ.na.i.de.sɯ]
Japanese::N5::Preferences & simple descriptions | 今日は忙しいです。 | I am busy today. | [kyoː.ɰa. ꜜ i.so.ga.ɕiː.de.sɯ̥. ◌̄] | [kyoː.ɰa.i.so.ɡa.ɕiː.de.sɯ]
Japanese::N5::Preferences & simple descriptions | 昨日は暇でした。 | I was free yesterday. | [ki.noː.ɰa. ꜜ çi.ma.de.ɕi.ta. ◌̄] | [ki.noː.ɰa.çi.ma.de.ɕi.ta]
Japanese::N5::Preferences & simple descriptions | 旅は楽しかったです。 | The trip was fun. | [ta.bi.ɰa. ꜜ ta.no.ɕi.ka me.ta.de.sɯ̥. ◌̄] | [ta.bi.ɰa.ta.no.ɕi.ka.ta.de.sɯ]
