Japanese::N5::Demonstratives (こそあど系) | これはペンです。 | This is a pen. | [ko̞ɾe̞ wa̠ pe̞ɴ de̞sɨᵝ] | [ko̞ɾe̞ wa̠ pe̞ŋ de̞sɨᵝ]
Japanese::N5::Demonstratives (こそあど系) | それは本です。 | That is a book. | [so̞ɾe̞ wa̠ ho̞ɴ de̞sɨᵝ] | [so̞ɾe̞ wa̠ ho̞ŋ de̞sɨᵝ]
Japanese::N5::Demonstratives (こそあど系) | あれは辞書です。 | That over there is a dictionary. | [a̠ɾe̞ wa̠ dʑiɕo̞ de̞sɨᵝ] | [a̠ɾe̞ wa̠ dʑiɕo̞ de̞sɨᵝ]
Japanese::N5::Demonstratives (こそあど系) | どれがあなたの傘ですか。 | Which one is your umbrella? | [do̞ɾe̠ ɡa̠ a̠na̠ta̠ no̞ ka̠sa̠ de̞sɨᵝ ka̠] | [do̞ɾe̠ ɡa̠ a̠na̠ta̠ no̞ ka̠sa̠ de̞sɨᵝ ka̠]
Japanese::N5::Demonstratives (こそあど系) | この本はいくらですか。 | How much is this book? | [ko̞no̞ ho̞ɴ wa̠ i kɯ̟ᵝɾa̠ de̞sɨᵝ ka̠] | [ko̞no̞ ho̞ŋ wa̠ i kɯ̟ᵝɾa̠ de̞sɨᵝ ka̠]
Japanese::N5::Demonstratives (こそあど系) | その鞄は私のです。 | That bag is mine. | [so̞no̞ ka̠ba̠ɴ wa̠ wa̠ta̠ɕi no̞ de̞sɨᵝ] | [so̞no̞ ka̠ba̠ŋ wa̠ wa̠ta̠ɕi no̞ de̞sɨᵝ]
Japanese::N5::Demonstratives (こそあど系) | あの人は誰ですか。 | Who is that person over there? | [a̠no̞ hito̞ wa̠ da̠ɾe̞ de̞sɨᵝ ka̠] | [a̠no̞ hito̞ wa̠ da̠ɾe̞ de̞sɨᵝ ka̠]
Japanese::N5::Demonstratives (こそあど系) | どの鍵があなたの物ですか。 | Which key is yours? | [do̞no̞ ka̠ɡi ɡa̠ a̠na̠ta̠ no̞ mo̞no̞ de̞sɨᵝ ka̠] | [do̞no̞ ka̠ɡi ɡa̠ a̠na̠ta̠ no̞ mo̞no̞ de̞sɨᵝ ka̠]
Japanese::N5::Demonstratives (こそあど系) | ここは教室です。 | Here is a classroom. | [ko̞ko̞ wa̠ kyoːɕitsɨᵝ de̞sɨᵝ] | [ko̞ko̞ wa̠ kyoːɕtsɨᵝ de̞sɨᵝ]
Japanese::N5::Demonstratives (こそあど系) | そこは図書館です。 | There is the library. | [so̞ko̞ wa̠ to̞ɕo̞ka̠ɴ de̞sɨᵝ] | [so̞ko̞ wa̠ to̞ɕo̞ka̠ŋ de̞sɨᵝ]
Japanese::N5::Demonstratives (こそあど系) | あそこは駅です。 | Over there is the station. | [a̠so̞ko̞ wa̠ e̞ki de̞sɨᵝ] | [a̠so̞ko̞ wa̠ e̞ki de̞sɨᵝ]
Japanese::N5::Demonstratives (こそあど系) | どこがトイレですか。 | Where is the toilet? | [do̞ko̞ ɡa̠ to̞iɾe̞ de̞sɨᵝ ka̠] | [do̞ko̞ ɡa̠ to̞iɾe̞ de̞sɨᵝ ka̠]
Japanese::N5::Demonstratives (こそあど系) | こちらは田中さんです。 | This is Mr Tanaka. | [ko̞tɕiɾa̠ wa̠ ta̠na̠ka̠ sa̠ɴ de̞sɨᵝ] | [ko̞tɕiɾa̠ wa̠ ta̠na̠ka̠ sa̠ŋ de̞sɨᵝ]
Japanese::N5::Demonstratives (こそあど系) | そちらは受付です。 | That way is the reception desk. | [so̞tɕiɾa̠ wa̠ ɯ̟ᵝke̞tsɨᵝke̞ de̞sɨᵝ] | [so̞tɕiɾa̠ wa̠ ɯ̟ᵝke̞tsɨᵝke̞ de̞sɨᵝ]
Japanese::N5::Demonstratives (こそあど系) | あちらは事務所です。 | Over that way is the office. | [a̠tɕiɾa̠ wa̠ dʑimɯ̟ᵝɕo̞ de̞sɨᵝ] | [a̠tɕiɾa̠ wa̠ dʑimɯ̟ᵝɕo̞ de̞sɨᵝ]
Japanese::N5::Demonstratives (こそあど系) | どちらがあなたの部屋ですか。 | Which direction/way is your room? | [do̞tɕiɾa̠ ɡa̠ a̠na̠ta̠ no̞ he̞ya̠ de̞sɨᵝ ka̠] | [do̞tɕiɾa̠ ɡa̠ a̠na̠ta̠ no̞ he̞ya̠ de̞sɨᵝ ka̠]
