German::A1::Shopping & Money | Ich gebe dem Verkäufer das Geld. | I give the salesman the money. | [ʔɪç ˈɡeː.bə deːm fɛɐ̯ˈkʰɔʏ̯.fɐ das ɡɛlt̚] | [ɪç ˈɡeːbə dm̩ fɛɐ̯ˈkɔʏfɐ das ɡɛlt̚]
German::A1::Shopping & Money | Ich gebe der Frau die Tasche. | I give the woman the bag. | [ʔɪç ˈɡeː.bə deːɐ̯ fʁaʊ̯ diː ˈtʰa.ʃə] | [ɪç ˈɡeːbə dɛɐ̯ fʁaʊ diː ˈtaʃə]
German::A1::Shopping & Money | Er gibt dem Mann das Buch. | He gives the man the book. | [ʔeːɐ̯ ɡiːpt̚ deːm man das buːx] | [ɛɐ̯ ɡiːpt̚ dm̩ man das buːx]
German::A1::Shopping & Money | Was kostet das? | What does that cost? | [vas ˈkʰɔs.tət das] | [vas ˈkɔstət das]
German::A1::Shopping & Money | Das kostet zehn Euro. | That costs ten euros. | [das ˈkʰɔs.tət tseːn ˈʔɔʏ̯.ʁo] | [das ˈkɔstət tseːn ˈɔʏʁo]
German::A1::Shopping & Money | Das kostet fünf Euro fünfzig. | That costs five euros fifty. | [das ˈkʰɔs.tət fʏnf ˈʔɔʏ̯.ʁo ˈfʏnf.tsɪç] | [das ˈkɔstət fʏnf ˈɔʏʁo ˈfʏnftsɪç]
German::A1::Shopping & Money | Wie viel kostet der Apfel? | How much does the apple cost? | [viː fiːl ˈkʰɔs.tət deːɐ̯ ˈʔap.fl̩] | [viː fiːl ˈkɔstət dɛɐ̯ ˈapfl̩]
German::A1::Shopping & Money | Der Apfel kostet einen Euro. | The apple costs one euro. | [deːɐ̯ ˈʔap.fl̩ ˈkʰɔs.tət ˈʔaɪ̯.nən ˈʔɔʏ̯.ʁo] | [dɛɐ̯ ˈapfl̩ ˈkɔstət n̩ ˈɔʏʁo]
German::A1::Shopping & Money | Ich brauche Kleingeld. | I need small change. | [ʔɪç ˈbʁaʊ̯.xə ˈklaɪ̯n.ɡɛlt̚] | [ɪç ˈbʁaʊxə ˈklaɪnɡɛlt̚]
German::A1::Shopping & Money | Ich habe kein Geld. | I have no money. | [ʔɪç ˈhaː.bə kʰaɪ̯n ɡɛlt̚] | [ɪç ˈhaːbə kaɪn ɡɛlt̚]
German::A1::Shopping & Money | Ich zahle mit Karte. | I pay by card. | [ʔɪç ˈtsaː.lə mɪt̚ ˈkʰaʁ.tə] | [ɪç ˈtsaːlə mɪt ˈkaʁtə]
German::A1::Shopping & Money | Ich zahle mit Bargeld. | I pay with cash. | [ʔɪç ˈtsaː.lə mɪt̚ ˈbaːɐ̯.ɡɛlt̚] | [ɪç ˈtsaːlə mɪt ˈbaːɐ̯ɡɛlt̚]
German::A1::Shopping & Money | Wo ist die Kasse? | Where is the checkout? | [voː ʔɪst diː ˈkʰa.sə] | [voː ɪst diː ˈkasə]
German::A1::Shopping & Money | Ich suche ein Geschenk. | I am looking for a gift. | [ʔɪç ˈzuː.xə ʔaɪ̯n ɡəˈʃɛŋk] | [ɪç ˈzuːxə n̩ ɡəˈʃɛŋk]
German::A1::Shopping & Money | Ich kaufe ein Geschenk für meine Mutter. | I am buying a gift for my mother. | [ʔɪç ˈkʰaʊ̯.fə ʔaɪ̯n ɡəˈʃɛŋk fyːɐ̯ ˈmaɪ̯.nə ˈmʊ.tɐ] | [ɪç ˈkaʊfə n̩ ɡəˈʃɛŋk fyɐ̯ ˈmaɪnə ˈmʊtɐ]
German::A1::Shopping & Money | Das ist zu teuer. | That is too expensive. | [das ʔɪst tsuː ˈtʰɔʏ̯.ɐ] | [das ɪst tsu ˈtɔʏɐ]
German::A1::Shopping & Money | Das ist billig. | That is cheap. | [das ʔɪst ˈbɪ.lɪç] | [das ɪst ˈbɪlɪç]
German::A1::Shopping & Money | Ich brauche eine Tüte. | I need a bag. | [ʔɪç ˈbʁaʊ̯.xə ˈʔaɪ̯.nə ˈtʰyː.tə] | [ɪç ˈbʁaʊxə nə ˈtyːtə]
German::A1::Shopping & Money | Der Verkäufer hilft mir. | The salesman helps me. | [deːɐ̯ fɛɐ̯ˈkʰɔʏ̯.fɐ hɪlft̚ miːɐ̯] | [dɛɐ̯ fɛɐ̯ˈkɔʏfɐ hɪlft̚ miɐ̯]
German::A1::Shopping & Money | Ich helfe dem Kunden. | I help the customer. | [ʔɪç ˈhɛl.fə deːm ˈkʰʊn.dn̩] | [ɪç ˈhɛlfə dm̩ ˈkʊndn̩]
German::A1::Shopping & Money | Kannst du mir helfen? | Can you help me? | [kʰanst duː miːɐ̯ ˈhɛl.fn̩] | [kanstə miɐ̯ ˈhɛlfn̩]
German::A1::Shopping & Money | Ich danke dem Verkäufer. | I thank the salesman. | [ʔɪç ˈdaŋ.kə deːm fɛɐ̯ˈkʰɔʏ̯.fɐ] | [ɪç ˈdaŋkə dm̩ fɛɐ̯ˈkɔʏfɐ]
German::A1::Shopping & Money | Ich gebe ihm das Geld. | I give him the money. | [ʔɪç ˈɡeː.bə ʔiːm das ɡɛlt̚] | [ɪç ˈɡeːbəm das ɡɛlt̚]
German::A1::Shopping & Money | Ich gebe ihr die Karte. | I give her the card. | [ʔɪç ˈɡeː.bə ʔiːɐ̯ diː ˈkʰaʁ.tə] | [ɪç ˈɡeːbə ʔiɐ̯ diː ˈkaʁtə]
German::A1::Shopping & Money | Er zeigt mir den Rock. | He shows me the skirt. | [ʔeːɐ̯ tsaɪ̯kt̚ miːɐ̯ deːn ʁɔk] | [ɛɐ̯ tsaɪkt̚ miɐ̯ dn̩ ʁɔk]
German::A1::Shopping & Money | Sie zeigt mir das Kleid. | She shows me the dress. | [ziː tsaɪ̯kt̚ miːɐ̯ das klaɪ̯t̚] | [ziː tsaɪkt̚ miɐ̯ das klaɪt̚]
German::A1::Shopping & Money | Ich schenke meiner Schwester ein Buch. | I give my sister a book (as a gift). | [ʔɪç ˈʃɛŋ.kə ˈmaɪ̯.nɐ ˈʃvɛs.tɐ ʔaɪ̯n buːx] | [ɪç ˈʃɛŋkə ˈmaɪnɐ ˈʃvɛstɐ n̩ buːx]
German::A1::Shopping & Money | Ich schenke meinem Bruder eine Uhr. | I give my brother a watch (as a gift). | [ʔɪç ˈʃɛŋ.kə ˈmaɪ̯.nəm ˈbʁuː.dɐ ˈʔaɪ̯.nə ʔuːɐ̯] | [ɪç ˈʃɛŋkə ˈmaɪnəm ˈbʁuːdɐ nə ʔuɐ̯]
German::A1::Shopping & Money | Wir gehen einkaufen. | We are going shopping. | [viːɐ̯ ˈɡeː.ən ˈʔaɪ̯n.kaʊ̯.fn̩] | [viɐ̯ ˈɡeːən ˈʔaɪnkaʊfn̩]
German::A1::Shopping & Money | Ich gehe in den Supermarkt. | I am going into the supermarket. | [ʔɪç ˈɡeː.ə ʔɪn deːn ˈzuː.pɐ.maʁkt̚] | [ɪç ˈɡeːə ɪn dn̩ ˈzuːpɐmaʁkt̚]
