German::A1::Weather & Seasons | Wie ist das Wetter heute? | What's the weather like today? | [viː ʔɪst das ˈvɛ.tɐ ˈhɔʏ̯.tə] | [viː ɪst das ˈvɛtɐ ˈhɔʏtə]
German::A1::Weather & Seasons | Es regnet. | It is raining. | [ʔɛs ˈʁeːɡ.nət] | [ɛs ˈʁeːɡnət]
German::A1::Weather & Seasons | Es schneit. | It is snowing. | [ʔɛs ʃnaɪ̯t̚] | [ɛs ʃnaɪt̚]
German::A1::Weather & Seasons | Die Sonne scheint. | The sun is shining. | [diː ˈzɔ.nə ʃaɪ̯nt̚] | [diː ˈzɔnə ʃaɪnt̚]
German::A1::Weather & Seasons | Es ist windig. | It is windy. | [ʔɛs ʔɪst ˈvɪn.dɪç] | [ɛs ɪst ˈvɪndɪç]
German::A1::Weather & Seasons | Es ist wolkig. | It is cloudy. | [ʔɛs ʔɪst ˈvɔl.kɪç] | [ɛs ɪst ˈvɔlkɪç]
German::A1::Weather & Seasons | Es ist warm. | It is warm. | [ʔɛs ʔɪst vaʁm] | [ɛs ɪst vaɐ̯m]
German::A1::Weather & Seasons | Es ist kalt. | It is cold. | [ʔɛs ʔɪst kʰalt̚] | [ɛs ɪst kalt̚]
German::A1::Weather & Seasons | Es ist heiß. | It is hot. | [ʔɛs ʔɪst haɪ̯s] | [ɛs ɪst haɪs]
German::A1::Weather & Seasons | Es ist kühl. | It is cool. | [ʔɛs ʔɪst kʰyːl] | [ɛs ɪst kyːl]
German::A1::Weather & Seasons | Im Frühling blühen die Blumen. | In spring the flowers bloom. | [ʔɪm ˈfʁyː.lɪŋ ˈblyː.ən diː ˈbluː.mən] | [ɪm ˈfʁyːlɪŋ ˈblyːən diː ˈbluːmən]
German::A1::Weather & Seasons | Im Sommer ist es heiß. | In summer it is hot. | [ʔɪm ˈzɔ.mɐ ʔɪst ʔɛs haɪ̯s] | [ɪm ˈzɔmɐ ɪst ɛs haɪs]
German::A1::Weather & Seasons | Im Herbst fallen die Blätter. | In autumn the leaves fall. | [ʔɪm hɛʁpst̚ ˈfa.lən diː ˈblɛ.tɐ] | [ɪm hɛɐ̯pst̚ ˈfalən diː ˈblɛtɐ]
German::A1::Weather & Seasons | Im Winter schneit es oft. | In winter it often snows. | [ʔɪm ˈvɪn.tɐ ʃnaɪ̯t̚ ʔɛs ʔɔft̚] | [ɪm ˈvɪntɐ ʃnaɪt̚ ɛs ɔft̚]
German::A1::Weather & Seasons | Meine Lieblingsjahreszeit ist der Sommer. | My favourite season is summer. | [ˈmaɪ̯.nə ˈliːp.lɪŋs.jaː.ʁəs.tsaɪ̯t̚ ʔɪst deːɐ̯ ˈzɔ.mɐ] | [ˈmaɪnə ˈliːplɪŋsjaːʁəstsaɪt̚ ɪst dɛɐ̯ ˈzɔmɐ]
German::A1::Weather & Seasons | Wie viel Grad sind es? | How many degrees is it? | [viː fiːl ɡʁaːt̚ zɪnt̚ ʔɛs] | [viː fiːl ɡʁaːt̚ zɪnt ɛs]
German::A1::Weather & Seasons | Es sind zwanzig Grad. | It is twenty degrees. | [ʔɛs zɪnt̚ ˈtsvan.tsɪç ɡʁaːt̚] | [ɛs zɪnt ˈtsvantsɪç ɡʁaːt̚]
German::A1::Weather & Seasons | Der Himmel ist blau. | The sky is blue. | [deːɐ̯ ˈhɪ.ml̩ ʔɪst blaʊ̯] | [dɛɐ̯ ˈhɪml̩ ɪst blaʊ]
German::A1::Weather & Seasons | Der Himmel ist grau. | The sky is grey. | [deːɐ̯ ˈhɪ.ml̩ ʔɪst ɡʁaʊ̯] | [dɛɐ̯ ˈhɪml̩ ɪst ɡʁaʊ]
German::A1::Weather & Seasons | Es gibt heute Regen. | There is rain today. | [ʔɛs ɡiːpt̚ ˈhɔʏ̯.tə ˈʁeː.ɡn̩] | [ɛs ɡiːpt̚ ˈhɔʏtə ˈʁeːɡn̩]
German::A1::Weather & Seasons | Es gibt morgen Schnee. | There will be snow tomorrow. | [ʔɛs ɡiːpt̚ ˈmɔʁ.ɡn̩ ʃneː] | [ɛs ɡiːpt̚ ˈmɔɐ̯ɡn̩ ʃneː]
German::A1::Weather & Seasons | Es gibt ein Gewitter. | There is a thunderstorm. | [ʔɛs ɡiːpt̚ ʔaɪ̯n ɡəˈvɪ.tɐ] | [ɛs ɡiːpt̚ n̩ ɡəˈvɪtɐ]
German::A1::Weather & Seasons | Es ist neblig. | It is foggy. | [ʔɛs ʔɪst ˈneː.blɪç] | [ɛs ɪst ˈneːblɪç]
German::A1::Weather & Seasons | Draußen ist es kalt. | Outside it is cold. | [ˈdʁaʊ̯.sn̩ ʔɪst ʔɛs kʰalt̚] | [ˈdʁaʊsn̩ ɪst ɛs kalt̚]
German::A1::Weather & Seasons | Drinnen ist es warm. | Inside it is warm. | [ˈdʁɪ.nən ʔɪst ʔɛs vaʁm] | [ˈdʁɪnən ɪst ɛs vaɐ̯m]
German::A1::Weather & Seasons | Ich brauche einen Regenschirm. | I need an umbrella. | [ʔɪç ˈbʁaʊ̯.xə ˈʔaɪ̯.nən ˈʁeː.ɡn̩.ʃɪʁm] | [ɪç ˈbʁaʊxə n̩ ˈʁeːɡn̩ʃɪɐ̯m]
German::A1::Weather & Seasons | Ich trage eine Jacke. | I am wearing a jacket. | [ʔɪç ˈtʰʁaː.ɡə ˈʔaɪ̯.nə ˈja.kə] | [ɪç ˈtʁaːɡə nə ˈjakə]
German::A1::Weather & Seasons | Es friert. | It is freezing. | [ʔɛs fʁiːɐ̯t̚] | [ɛs fʁiɐ̯t̚]
German::A1::Weather & Seasons | Der Schnee taut. | The snow is melting. | [deːɐ̯ ʃneː tʰaʊ̯t̚] | [dɛɐ̯ ʃneː taʊt̚]
German::A1::Weather & Seasons | Es blitzt. | There is lightning. | [ʔɛs blɪtst̚] | [ɛs blɪtst̚]
German::A1::Weather & Seasons | Es donnert. | It is thundering. | [ʔɛs ˈdɔ.nɐt̚] | [ɛs ˈdɔnɐt̚]
German::A1::Weather & Seasons | Das Wetter ist stürmisch. | The weather is stormy. | [das ˈvɛ.tɐ ʔɪst ˈʃtʏʁ.mɪʃ] | [das ˈvɛtɐ ɪst ˈʃtʏɐ̯mɪʃ]
German::A1::Weather & Seasons | Das Wetter ist heiter. | The weather is fair. | [das ˈvɛ.tɐ ʔɪst ˈhaɪ̯.tɐ] | [das ˈvɛtɐ ɪst ˈhaɪtɐ]
German::A1::Weather & Seasons | Der Himmel ist bewölkt. | The sky is overcast. | [deːɐ̯ ˈhɪ.ml̩ ʔɪst bəˈvœlkt̚] | [dɛɐ̯ ˈhɪml̩ ɪst bəˈvœlkt̚]
German::A1::Weather & Seasons | Die Hitze ist unangenehm. | The heat is unpleasant. | [diː ˈhɪ.tsə ʔɪst ˈʔʊn.ʔan.ɡə.neːm] | [diː ˈhɪtsə ɪst ˈʊnanɡəneːm]
German::A1::Weather & Seasons | Die Kälte ist stark. | The cold is intense. | [diː ˈkʰɛl.tə ʔɪst ʃtaʁk] | [diː ˈkɛltə ɪst ʃtaɐ̯k]
German::A1::Weather & Seasons | Es gibt viel Sonne im Sommer. | There is a lot of sun in summer. | [ʔɛs ɡiːpt̚ fiːl ˈzɔ.nə ʔɪm ˈzɔ.mɐ] | [ɛs ɡiːpt̚ fiːl ˈzɔnə ɪm ˈzɔmɐ]
