Japanese::N5::Sequence & temporal relations | ご飯を食べてから、歯を磨きます。 | After eating a meal, I brush my teeth. | [ɡo.ha.ɴ.o ta.be.te.ka.ra ha.o mi.ɡa.ki.ma.sɯ̥] | [ŋohaɴ o tabete kaɾa ha o miŋakʲi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 手を洗ってから、食べてください。 | Please eat after washing your hands. | [te.o a.ra.ʔ.te.ka.ra ta.be.te kɯ.da.sa.i] | [te o aɾat te kaɾa tabete kɯdasai]
Japanese::N5::Sequence & temporal relations | 日本へ来てから、一年になります。 | It has been one year since I came to Japan. | [ni.ho.ɴ.e ki.te.ka.ra i.chi.ne.ɴ.ni na.ɾi.ma.sɯ̥] | [nihoɴ e kʲite kaɾa itɕineɴ ni naɾi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 勉強してから、テレビを見ます。 | I will watch television after studying. | [be.ɴ.kʲoː.ɕi.te.ka.ra te.ɾe.bi.o mi.ma.sɯ̥] | [beŋkʲoː ɕite kaɾa teɾebi o mi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 家に帰ってから、宿題をします。 | I will do my homework after returning home. | [i.e.ni ka.e.ʔ.te.ka.ra ɕɯ.kɯ.da.i.o ɕi.ma.sɯ̥] | [ie ni kaet te kaɾa ɕɯkɯdai o ɕi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 寝る前に、本を読みます。 | Before going to bed, I read a book. | [ne.ɾɯ ma.e.ni ho.ɴ.o jo.mi.ma.sɯ̥] | [neɾɯ mae ni hoɴ o jomi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | ご飯を食べる前に、手を洗います。 | Before eating a meal, I wash my hands. | [ɡo.ha.ɴ.o ta.be.ɾɯ ma.e.ni te.o a.ra.i.ma.sɯ̥] | [ŋohaɴ o tabeɾɯ mae ni te o arai ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 出かける前に、電話をかけます。 | Before going out, I will make a phone call. | [de.ka.ke.ɾɯ ma.e.ni de.ɴ.ɰa.o ka.ke.ma.sɯ̥] | [dekakeɾɯ mae ni deŋβa o kakema͍sᶍ]
Japanese::N5::Sequence & temporal relations | 国へ帰る前に、お土産を買います。 | Before returning to my home country, I will buy souvenirs. | [kɯ.ni.e ka.e.ɾɯ ma.e.ni o.mi.ja.ɡe.o ka.i.ma.sɯ̥] | [kɯni e kaeɾɯ mae ni omijaŋe o kaima͍sᶍ]
Japanese::N5::Sequence & temporal relations | 水泳の前に、準備運動をします。 | Before swimming, I do warm-up exercises. | [sɯ.i.eː.no ma.e.ni jɯ.ɴ.bi.ɯ.ɴ.doː.o ɕi.ma.sɯ̥] | [sɯieː no mae ni dʑɯmbi ɯndoː o ɕi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 朝起きて、顔を洗って、朝ご飯を食べます。 | In the morning I wake up, wash my face, and eat breakfast. | [a.sa o.ki.te ka.o.o a.ra.ʔ.te a.sa.ɡo.ha.ɴ.o ta.be.ma.sɯ̥] | [asa okʲite kao o aɾat te asaŋohaɴ o tabema͍sᶍ]
Japanese::N5::Sequence & temporal relations | 図書館へ行って、本を借りて、帰りました。 | I went to the library, borrowed a book, and returned home. | [to.ɕo.ka.ɴ.e i.ʔ.te ho.ɴ.o ka.ɾi.te ka.e.ɾi.ma.ɕi.ta] | [toɕokaɴ e it ta hoɴ o kaɾite kaeɾimaɕta]
Japanese::N5::Sequence & temporal relations | 新宿で電車に乗って、東京で降ります。 | I board the train at Shinjuku and get off at Tokyo. | [ɕi.ɴ.jɯ.kɯ.de de.ɴ.ɕa.ni no.ʔ.te toː.kʲoː.de fɯ.ɾi.ma.sɯ̥] | [ɕindʑɯkɯ de deɴɕa ni not te toːkʲoː de ɸɯɾi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 買い物を me.し.て、映画を見ました。 | I did some shopping and then watched a movie. | [ka.i.mo.no.o ɕi.te eː.ɡa.o mi.ma.ɕi.ta] | [kaimono o ɕite eːŋa o mimaɕta]
Japanese::N5::Sequence & temporal relations | 神戸へ行って、美味しい料理を食べました。 | I went to Kobe and ate delicious food. | [koː.be.e i.ʔ.ta o.i.ɕi.i ɾʲoː.ɾi.o ta.be.ma.ɕi.ta] | [koːbe e it ta oiɕiː ɾʲoːɾi o tabemaɕta]
Japanese::N5::Sequence & temporal relations | 友達に会って、お茶を飲みました。 | I met a friend and drank tea. | [to.mo.da.chi.ni a.ʔ.te o.cha.o no.mi.ma.ɕi.ta] | [tomodatɕi ni at te otɕa o nomimaɕta]
Japanese::N5::Sequence & temporal relations | 散歩をしてから、お風呂に入ります。 | After taking a walk, I take a bath. | [sa.ɴ.po.o ɕi.te.ka.ra o.fɯ.ro.ni ha.i.ɾi.ma.sɯ̥] | [sampo o ɕite kaɾa oɸɯɾo ni haiɾi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 仕事が終わってから、飲みに行きましょう。 | After work finishes, let us go for a drink. | [ɕi.ɡo.to.ɡa o.ɰa.ʔ.te.ka.ra no.mi.ni i.ki.ma.ɕoː] | [ɕiŋoto ŋa oɰat te kaɾa nomi ni ikʲimaɕoː]
Japanese::N5::Sequence & temporal relations | 確認してから、サインしてください。 | Please sign after confirming. | [ka.kɯ.ni.ɴ.ɕi.te.ka.ra sa.i.ɴ.ɕi.te kɯ.da.sa.i] | [kakɯniɴ ɕite kaɾa saiɴ ɕite kɯdasai]
Japanese::N5::Sequence & temporal relations | 一時間ぐらい待ってから、入れました。 | After waiting for about an hour, I was able to enter. | [i.chi.ji.ka.ɴ.ɡɯ.ra.i ma.ʔ.te.ka.ra ha.i.ɾe.ma.ɕi.ta] | [itɕidʑikaɴ ŋɯɾai mat te kaɾa haiɾemaɕta]
Japanese::N5::Sequence & temporal relations | 泳ぐ前に、準備体操をします。 | Before swimming, I do warm-up exercises. | [o.jo.ɡɯ ma.e.ni jɯ.ɴ.bi.ta.i.soː.o ɕi.ma.sɯ̥] | [ojoŋɯ mae ni dʑɯmbi taisoː o ɕi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 寝る前に、電気を消してください。 | Please turn off the lights before sleeping. | [ne.ɾɯ ma.e.ni de.ɴ.ki.o ke.ɕi.te kɯ.da.sa.i] | [neɾɯ mae ni deŋkʲi o keɕte kɯdasai]
Japanese::N5::Sequence & temporal relations | 旅行の前に、ホテルを予約します。 | Before the trip, I will reserve a hotel. | [ɾʲo.koː.no ma.e.ni ho.te.rɯ.o jo.ja.kɯ.ɕi.ma.sɯ̥] | [ɾʲokoː no mae ni hoteɾɯ o jojakɯ ɕi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 会議の前に、資料を準備します。 | Before the meeting, I prepare materials. | [ka.i.ɡi.no ma.e.ni ɕi.ɾʲoː.o jɯ.ɴ.bi.ɕi.ma.sɯ̥] | [kaiŋi no mae ni ɕiɾʲoː o dʑɯmbi ɕi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 薬を飲む前に、説明を読みます。 | Before taking medicine, I read the instructions. | [kɯ.sɯ.ɾi.o no.mɯ ma.e.ni se.tsɯ.meː.o jo.mi.ma.sɯ̥] | [kɯsɯɾi o nomɯ mae ni setsɯmeː o jomi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 公園を散歩して、カフェでコーヒーを飲みました。 | I took a walk in the park and drank coffee at a cafe. | [koː.e.ɴ.o sa.ɴ.po.ɕi.te ka.fe.de koː.hiː.o no.mi.ma.ɕi.ta] | [koːeɴ o sampo ɕite kaɸe de koːhiː o nomimaɕta]
Japanese::N5::Sequence & temporal relations | 切符を買って、改札を通ります。 | I buy a ticket and pass through the ticket gate. | [ki.ʔ.pɯ.o ka.ʔ.te ka.i.sa.tsɯ.o toː.ɾi.ma.sɯ̥] | [kʲip pɯ o kat te kaisats o toːɾi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 宿題を終わらせてから、遊びに行きます。 | After finishing homework, I will go out to play. | [ɕɯ.kɯ.da.i.o o.ɰa.ra.se.te.ka.ra a.so.bi.ni i.ki.ma.sɯ̥] | [ɕɯkɯdai o oɰaɾasete kaɾa asobi ni ikʲi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 手紙を書いてから、切手を貼ります。 | After writing the letter, I put a stamp on it. | [te.ɡa.mi.o ka.i.te.ka.ra ki.ʔ.te.o ha.ɾi.ma.sɯ̥] | [teŋami o kaite kaɾa kʲit te o haɾi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 靴を脱いでから、部屋に入ってください。 | Please enter the room after taking off your shoes. | [kɯ.tsɯ.o nɯ.i.de.ka.ra he.ja.ni ha.i.ʔ.te kɯ.da.sa.i] | [kɯts o nuide kaɾa heja ni hit te kɯdasai]
Japanese::N5::Sequence & temporal relations | 出かける前に、鍵を確かめます。 | Before going out, I check the key. | [de.ka.ke.ɾɯ ma.e.ni ka.ɡi.o ta.ɕi.ka.me.ma.sɯ̥] | [dekakeɾɯ mae ni kaŋi o taɕkamema͍sᶍ]
Japanese::N5::Sequence & temporal relations | 試着する前に、店員に聞きます。 | Before trying it on, I ask the shop assistant. | [ɕi.cha.kɯ.sɯ.ɾɯ ma.e.ni te.ɴ.i.ɴ.ni ki.ki.ma.sɯ̥] | [ɕitɕakɯ sɯɾɯ mae ni teɴiɴ ni kʲikʲi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 掃除をして、洗濯をして、買い物をしました。 | I did the cleaning, did the laundry, and went shopping. | [soː.ji.o ɕi.te se.ɴ.ta.kɯ.o ɕi.te ka.i.mo.no.o ɕi.ma.ɕi.ta] | [soːdʑi o ɕite seɴtakɯ o ɕite kaimono o ɕimaɕta]
Japanese::N5::Sequence & temporal relations | ボタンを押して、切符を取ってください。 | Please press the button and take the ticket. | [bo.ta.ɴ.o o.ɕi.te ki.ʔ.pɯ.o to.ʔ.te kɯ.da.sa.i] | [botaɴ o oɕte kʲip pɯ o tot te kɯdasai]
Japanese::N5::Sequence & temporal relations | シャワーを浴びてから、寝ます。 | After taking a shower, I go to sleep. | [ɕa.ɰaː.o a.bi.te.ka.ra ne.ma.sɯ̥] | [ɕaɰaː o abite kaɾa nema͍sᶍ]
Japanese::N5::Sequence & temporal relations | 説明を聞いてから、質問します。 | I will ask questions after listening to the explanation. | [se.tsɯ.meː.o ki.ː.te.ka.ra ɕi.tsɯ.mo.ɴ.ɕi.ma.sɯ̥] | [setsɯmeː o kʲiːte kaɾa ɕitsɯmoɴ ɕi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 授業の前に、予習をします。 | Before the class, I prepare for the lesson. | [ji.ɡʲoː.no ma.e.ni jo.ɕɯː.o ɕi.ma.sɯ̥] | [dʑɯŋʲoː no mae ni joɕɯː o ɕi ma͍sᶍ]
Japanese::N5::Sequence & temporal relations | 電車に乗る前に、切符を買います。 | Before getting on the train, I buy a ticket. | [de.ɴ.ɕa.ni no.ɾɯ ma.e.ni ki.ʔ.pɯ.o ka.i.ma.sɯ̥] | [deɴɕa ni noɾɯ mae ni kʲip pɯ o kaima͍sᶍ]
Japanese::N5::Sequence & temporal relations | テレビを消して、電気を消して、寝ました。 | I turned off the television, turned off the lights, and went to bed. | [te.ɾe.bi.o ke.ɕi.te de.ɴ.ki.o ke.ɕi.te ne.ma.ɕi.ta] | [teɾebi o keɕte deŋkʲi o keɕte nemaɕta]
