Japanese::N5::Permission, prohibition & obligation | ここで写真を撮ってもいいですか。 | May I take photographs here | [ko.ko.de ɕa.ɕi.ɴ.o to.ʔ.te.mo i.i.de.sɯ.ka] | [koko de ɕaɕiɴ o to t temo iː des ka]
Japanese::N5::Permission, prohibition & obligation | タバコを吸ってもいいですか。 | May I smoke a cigarette | [ta.ba.ko.o sɯ.ʔ.te.mo i.i.de.sɯ.ka] | [tabako o sɯ t temo iː des ka]
Japanese::N5::Permission, prohibition & obligation | 入ってもいいですか。 | May I enter | [ha.i.ʔ.te.mo i.i.de.sɯ.ka] | [hai t temo iː des ka]
Japanese::N5::Permission, prohibition & obligation | ここに座ってもいいですか。 | May I sit here | [ko.ko.ni sɯ.ɰa.ʔ.te.mo i.i.de.sɯ.ka] | [koko ni sɯβa t temo iː des ka]
Japanese::N5::Permission, prohibition & obligation | 辞書を使ってもいいです。 | You may use a dictionary. | [ji.ɕo.o tsɯ.ka.ʔ.te.mo i.i.de.sɯ] | [dʑiɕo o tsɯka t temo iː de͍sᶍ]
Japanese::N5::Permission, prohibition & obligation | テレビを見てもいいです。 | You may watch television. | [te.ɾe.bi.o mi.te.mo i.i.de.sɯ] | [teɾebi o mitemo iː de͍sᶍ]
Japanese::N5::Permission, prohibition & obligation | ここで泳いではいけません。 | You must not swim here. | [ko.ko.de o.jo.i.de.ɰa i.ke.ma.se.ɴ] | [koko de ojoideβa ikemaseɴ]
Japanese::N5::Permission, prohibition & obligation | 車を止めてはいけません。 | You must not park your car. | [kɯ.ɾɯ.ma.o to.me.te.ɰa i.ke.ma.se.ɴ] | [kɯɾɯma o tometeβa ikemaseɴ]
Japanese::N5::Permission, prohibition & obligation | 写真を撮っちゃいけないよ。 | You mustn't take pictures. | [ɕa.ɕi.ɴ.o to.ʔ.cha i.ke.na.i.jo] | [ɕaɕiɴ o to t tɕa ikenai jo]
Japanese::N5::Permission, prohibition & obligation | ここに入っちゃダメです。 | You must not enter here. | [ko.ko.ni ha.i.ʔ.cha da.me.de.sɯ] | [koko ni hai t tɕa dame de͍sᶍ]
Japanese::N5::Permission, prohibition & obligation | 触らないでください。 | Please do not touch. | [sa.ɰa.ra.na.i.de kɯ.da.sa.i] | [saɰaɾanai de kɯdasai]
Japanese::N5::Permission, prohibition & obligation | ここに車を止めないでください。 | Please do not park your car here. | [ko.ko.ni kɯ.ɾɯ.ma.o to.me.na.i.de kɯ.da.sa.i] | [koko ni kɯɾɯma o tomenai de kɯdasai]
Japanese::N5::Permission, prohibition & obligation | 忘れないでください。 | Please do not forget. | [ɰa.sɯ.ɾe.na.i.de kɯ.da.sa.i] | [ɰasɯɾenai de kɯdasai]
Japanese::N5::Permission, prohibition & obligation | 心配しないでください。 | Please do not worry. | [ɕi.ɴ.pa.i ɕi.na.i.de kɯ.da.sa.i] | [ɕimpai ɕinai de kɯdasai]
Japanese::N5::Permission, prohibition & obligation | 走らないでください。 | Please do not run. | [ha.ɕi.ra.na.i.de kɯ.da.sa.i] | [haɕiɾanai de kɯdasai]
Japanese::N5::Permission, prohibition & obligation | 抱きしめないでください。 | Please do not hug me. | [da.ki.ɕi.me.na.i.de kɯ.da.sa.i] | [dakiɕimenai de kɯdasai]
Japanese::N5::Permission, prohibition & obligation | 大声で話さないでください。 | Please do not speak in a loud voice. | [oː.ɡo.e.de ha.na.sa.na.i.de kɯ.da.sa.i] | [oːŋoe de hanasanai de kɯdasai]
Japanese::N5::Permission, prohibition & obligation | 薬を飲まなければなりません。 | I must take medicine. | [kɯ.sɯ.ɾi.o no.ma.na.ke.ɾe.ba na.ɾi.ma.se.ɴ] | [kɯsɯɾi o nomanak eɾeba naɾimaseɴ]
Japanese::N5::Permission, prohibition & obligation | 明日、学校へ行かなければなりません。 | I must go to school tomorrow. | [a.ɕi.ta ɡa.ʔ.koː.e i.ka.na.ke.ɾe.ba na.ɾi.ma.se.ɴ] | [aɕta ŋak koː e ikanak eɾeba naɾimaseɴ]
Japanese::N5::Permission, prohibition & obligation | 宿題をしなければなりません。 | I must do my homework. | [ɕɯ.kɯ.da.i.o ɕi.na.ke.ɾe.ba na.ɾi.ma.se.ɴ] | [ɕɯkɯdai o ɕinak eɾeba naɾimaseɴ]
