Japanese::N2::~上は | 引き受けた上は、最後まで責任を持ってやります。 | Now that I've taken it on, I'll see it through to the end responsibly. | [çi.kɯ.ke.ta ɯ.e wa sa.i.ɡo ma.de se.ki̥.ni.ɲ o mo.tːe ja.ɾi.ma.sɯ] | [çi.kʲɯ.ke.ta ɯ.e wa sa.i.ɡo ma.de se.kʲi.ɲi.ɲ mo.tːe ja.ɾi.ma.sɯ]
Japanese::N2::~上は | 決めた上は、途中でやめるわけにはいかない。 | Now that I've decided, I can't quit halfway through. | [ki.me.ta ɯ.e wa to.tɕɯː de ja.me.ɾɯ wa.ke ni wa i.ka.na.i] | [kʲi.me.ta ɯ.e wa to.tɕɯː de ja.me.ɾɯ wa.ke ni wa i.ka.na.i]
Japanese::N2::~上は | 試合に出ると言った上は、練習をサボるわけにはいかない。 | Since I said I'd compete, I can't skip practice. | [ɕi.a.i ni de.ɾɯ to i.tːa ɯ.e wa re.ɲ.ɕɯː o sa.bo ɾɯ wa.ke ni wa i.ka.na.i] | [ɕi.a.i ni de.ɾɯ to i.tːa ɯ.e wa ɾe.ɲ.ɕɯː sa.bo.ɾɯ wa.ke ni wa i.ka.na.i]
Japanese::N2::~上は | 会社を辞めると決めた上は、次の仕事を早く探さなければならない。 | Now that I've decided to quit the company, I need to find a new job soon. | [ka.i.ɕa o ja.me.ɾɯ to ki.me.ta ɯ.e wa t͡sɯ.ɡi no ɕi.ɡo.to o ha.ja.kɯ sa.ga.sa.na.ke.ɾe.ba na.ɾa.na.i] | [ka.i.ɕa ja.me.ɾɯ to kʲi.me.ta ɯ.e wa t͡sɯ.ɡi no ɕi.ɡo.to ha.ja.kɯ sa.ɡa.sa.na.ke.ɾe.ba na.ɾa.na.i]
Japanese::N2::~上は | 引き受けた上は、途中で投げ出すことは許されない。 | Once you've accepted the task, giving up midway is not acceptable. | [çi.kɯ.ke.ta ɯ.e wa to.tɕɯː de na.ɡe.da.sɯ ko.to wa jɯ.ɾɯ.sa.ɾe.na.i] | [çi.kʲɯ.ke.ta ɯ.e wa to.tɕɯː de na.ɡe.da.sɯ ko.to jɯ.ɾɯ.sa.ɾe.na.i]
Japanese::N2::~上は | 約束した上は、必ず守るべきだ。 | Once you've made a promise, you must keep it. | [ja.kɯ.so.kɯ ɕi.ta ɯ.e wa ka.na.ɾa.zɯ ma.mo.ɾɯ be.ki da] | [ja.kɯ.so.kɯ ɕi̥.ta ɯ.e wa ka.na.ɾa.zɯ ma.mo.ɾɯ be.kʲi da]
Japanese::N2::~上は | この道を選んだ上は、後悔しないつもりだ。 | Having chosen this path, I intend not to regret it. | [ko.no mi.tɕi o e.ɾa.ɲ.da ɯ.e wa koː.ka.i ɕi.na.i t͡sɯ.mo.ɾi da] | [ko.no mi.tɕi e.ɾa.ɲ.da ɯ.e wa koː.ka.i ɕi.na.i t͡sɯ.mo.ɾi da]
Japanese::N2::~上は | リーダーを引き受けた上は、責任を果たさなければならない。 | Since I've taken on the role of leader, I must fulfill my responsibilities. | [ɾiː.daː o çi.kɯ.ke.ta ɯ.e wa se.ki̥.ni.ɲ o ha.ta.sa.na.ke.ɾe.ba na.ɾa.na.i] | [ɾiː.daː çi.kʲɯ.ke.ta ɯ.e wa se.kʲi.ɲi.ɲ ha.ta.sa.na.ke.ɾe.ba na.ɾa.na.i]
Japanese::N2::~上は | 留学すると決めた上は、しっかり準備をするべきだ。 | Now that I've decided to study abroad, I should prepare properly. | [rjɯː.ɡa.kɯ sɯ.ɾɯ to ki.me.ta ɯ.e wa ɕi.tː.ka.ɾi dʑɯ.ɲ.bi o sɯ.ɾɯ be.ki da] | [rjɯː.ɡa.kɯ sɯ.ɾɯ to kʲi.me.ta ɯ.e wa ɕi̥.kːa.ɾi dʑɯ.ɲ.bʲi sɯ.ɾɯ be.kʲi da]
Japanese::N2::~上は | 一度公表した上は、撤回するのは難しい。 | Once it has been publicly announced, retracting it is difficult. | [i.t͡ɕi.do koː.hjoː ɕi.ta ɯ.e wa te.kːa.i sɯ.ɾɯ no wa mɯ.zɯ.ka.ɕiː] | [i.t͡ɕi.do koː.hjoː ɕi̥.ta ɯ.e wa te.kːa.i sɯ.ɾɯ no mɯ.zɯ.ka.ɕiː]
Japanese::N2::~上は | 責任者として名前を出した上は、逃げるわけにはいかない。 | Now that I've put my name forward as the person in charge, I can't back away. | [se.ki̥.ni.ɲ.ɕa to.ɕi.te na.ma.e o da.ɕi.ta ɯ.e wa ni.ɡe.ɾɯ wa.ke ni wa i.ka.na.i] | [se.kʲi.ɲi.ɲ.ɕa to.ɕi̥.te na.ma.e da.ɕi̥.ta ɯ.e wa nʲi.ɡe.ɾɯ wa.ke ni wa i.ka.na.i]
Japanese::N2::~上は | 契約書にサインした上は、条件を守る義務がある。 | Once you've signed the contract, you have an obligation to abide by its terms. | [keː.ja.kɯ.ɕo ni sa.i.ɲ ɕi.ta ɯ.e wa dʑoː.ke.ɲ o ma.mo.ɾɯ ɡi.mɯ ɡa a.ɾɯ] | [keː.ja.kɯ.ɕo ni sa.i.ɲ ɕi̥.ta ɯ.e wa dʑoː.ke.ɲ ma.mo.ɾɯ ɡi.mɯ a.ɾɯ]
Japanese::N2::~上は | 医者になると決めた上は、厳しい勉強にも耐えるつもりだ。 | Having decided to become a doctor, I intend to endure even the hardest studying. | [i.ɕa ni na.ɾɯ to ki.me.ta ɯ.e wa ki.bi.ɕiː be.ɲ.kʲoː ni.mo ta.e.ɾɯ t͡sɯ.mo.ɾi da] | [i.ɕa ni na.ɾɯ to kʲi.me.ta ɯ.e wa kʲi.bʲi.ɕiː be.ɲ.kʲoː ni.mo ta.e.ɾɯ t͡sɯ.mo.ɾi da]
Japanese::N2::~上は | 引っ越すと決めた上は、荷物の整理を早く始めるべきだ。 | Now that I've decided to move, I should start sorting my belongings soon. | [çi.kːo.sɯ to ki.me.ta ɯ.e wa ɲi.mo.t͡sɯ no seː.ɾi o ha.ja.kɯ ha.dʑi.me.ɾɯ be.ki da] | [çi.kːo.sɯ to kʲi.me.ta ɯ.e wa ɲi.mo.t͡sɯ no seː.ɾi ha.ja.kɯ ha.dʑi.me.ɾɯ be.kʲi da]
Japanese::N2::~上は | 委員として選ばれた上は、真剣に取り組む必要がある。 | Having been chosen as a committee member, I need to take it seriously. | [i.i.ɲ to.ɕi.te e.ɾa.ba.ɾe.ta ɯ.e wa ɕi.ɲ.ke.ɲ ni to.ɾi.kɯ.mɯ çi.t͡sɯ.joː ɡa a.ɾɯ] | [i.i.ɲ to.ɕi̥.te e.ɾa.ba.ɾe.ta ɯ.e wa ɕi.ɲ.ke.ɲ ni to.ɾi.kɯ.mɯ çi.t͡sɯ.joː a.ɾɯ]
Japanese::N2::~上は | 独立すると宣言した上は、簡単には諦められない。 | Having declared that I would go independent, I can't easily give up now. | [do.kɯ.ɾi.t͡sɯ sɯ.ɾɯ to se.ɲ.ɡe.ɲ ɕi.ta ɯ.e wa ka.ɲ.ta.ɲ ni.wa a.ki.ɾa.me.ɾa.ɾe.na.i] | [do.kɯ.ɾi.t͡sɯ sɯ.ɾɯ to se.ɲ.ɡe.ɲ ɕi̥.ta ɯ.e wa ka.ɲ.ta.ɲ ni.wa a.kʲi.ɾa.me.ɾa.ɾe.na.i]
Japanese::N2::~上は | 皆の前で発言した上は、その言葉に責任を持つべきだ。 | Having spoken in front of everyone, you should take responsibility for your words. | [mi.nːa no ma.e de ha.t͡sɯ.ɡe.ɲ ɕi.ta ɯ.e wa so.no ko.to.ba ni se.ki̥.ni.ɲ o mo.t͡sɯ be.ki da] | [mi.nːa no ma.e de ha.t͡sɯ.ɡe.ɲ ɕi̥.ta ɯ.e wa so.no ko.to.ba ni se.kʲi.ɲi.ɲ mo.t͡sɯ be.kʲi da]
Japanese::N2::~上は | 資格を取ると決めた上は、途中で投げ出したくない。 | Now that I've decided to get the certification, I don't want to give up midway. | [ɕi.ka.kɯ o to.ɾɯ to ki.me.ta ɯ.e wa to.tɕɯː de na.ɡe.da.ɕi.ta.kɯ.na.i] | [ɕi.ka.kɯ to.ɾɯ to kʲi.me.ta ɯ.e wa to.tɕɯː de na.ɡe.da.ɕi̥.ta.kɯ.na.i]
Japanese::N2::~上は | この仕事を任された上は、期待に応えたい。 | Having been entrusted with this job, I want to live up to expectations. | [ko.no ɕi.ɡo.to o ma.ka.sa.ɾe.ta ɯ.e wa ki.ta.i ni ko.ta.e.ta.i] | [ko.no ɕi.ɡo.to ma.ka.sa.ɾe.ta ɯ.e wa kʲi.ta.i ni ko.ta.e.ta.i]
Japanese::N2::~上は | 監督を引き受けた上は、選手たちを勝たせたい。 | Now that I've taken on the role of coach, I want to lead the players to victory. | [ka.ɲ.to.kɯ o çi.kɯ.ke.ta ɯ.e wa se.ɲ.ɕɯ.ta.tɕi o ka.ta.se.ta.i] | [ka.ɲ.to.kɯ çi.kʲɯ.ke.ta ɯ.e wa se.ɲ.ɕɯ.ta.tɕi ka.ta.se.ta.i]
Japanese::N2::~上は | 出版すると決めた上は、内容に責任を持たなければならない。 | Now that I've decided to publish it, I must take responsibility for its content. | [ɕɯ.p.pa.ɲ sɯ.ɾɯ to ki.me.ta ɯ.e wa na.i.joː ni se.ki̥.ni.ɲ o mo.ta.na.ke.ɾe.ba na.ɾa.na.i] | [ɕɯ.p.pa.ɲ sɯ.ɾɯ to kʲi.me.ta ɯ.e wa na.i.joː ni se.kʲi.ɲi.ɲ mo.ta.na.ke.ɾe.ba na.ɾa.na.i]
