English::A1::Telling the time | What time is it? | كم الساعة؟ | [wɒt taɪ̯m ɪz ɪt] | [wɒt taɪ̯m ɪz ɪt]
English::A1::Telling the time | It is one o'clock. | أنها الساعة الواحدة. | [ɪt ɪz wʌn ə.ˈklɒk] | [ɪts wʌn ə.ˈklɒk]
English::A1::Telling the time | It is half past two. | أنها الثانية والنصف. | [ɪt ɪz hɑːf pɑːst tuː] | [ɪts hɑːf pɑːst tuː]
English::A1::Telling the time | It is quarter past three. | أنها الثالثة والربع. | [ɪt ɪz ˈkwɔː.tə pɑːst θriː] | [ɪts ˈkwɔː.tə pɑːst θriː]
English::A1::Telling the time | It is quarter to four. | أنها الرابعة إلا ربعاً. | [ɪt ɪz ˈkwɔː.tə t ə fɔː] | [ɪts ˈkwɔː.tə tə fɔː]
English::A1::Telling the time | The bus arrives at five o'clock. | الحافلة تصل في الساعة الخامسة. | [ðə bʌs ə.ˈraɪ̯vz æt faɪ̯v ə.ˈklɒk] | [ðə bʌs ə.ˈraɪ̯vz ət faɪ̯v ə.ˈklɒk]
English::A1::Telling the time | I wake up at six thirty. | أستيقظ في الساعة السادسة والنصف. | [aɪ̯ weɪ̯k ʌp æt sɪks ˈθɜː.ti] | [aɪ̯ weɪ̯k ʌp ət sɪks ˈθɜː.ti]
English::A1::Telling the time | He can tell the time. | يمكنه معرفة الوقت. | [hiː kæn tɛl ðə taɪ̯m] | [hiː kən tɛl ðə taɪ̯m]
English::A1::Telling the time | Can you read the clock? | هل يمكنك قراءة الساعة؟ | [kæn j uː riːd ðə klɒk] | [kən jə riːd ðə klɒk]
English::A1::Telling the time | She can swim very well. | هي تستطيع السباحة بشكل جيد جداً. | [ʃiː kæn swɪm ˈvɛ.ɹi wɛl] | [ʃiː kən swɪm ˈvɛ.ɹi wɛl]
English::A1::Telling the time | I cannot come today. | لا أستطيع الحضور اليوم. | [aɪ̯ ˈkæn.nɒt kʌm tə.ˈdeɪ̯] | [aɪ̯ kɑːnt kʌm tə.ˈdeɪ̯]
English::A1::Telling the time | The class starts at ten am. | يبدأ الدرس في الساعة العاشرة صباحاً. | [ðə klɑːs stɑːts æt tɛn ˌeɪ̯.ˈɛm] | [ðə klɑːs stɑːts ət tɛm ˌeɪ̯.ˈɛm]
English::A1::Telling the time | The film ends at nine pm. | ينتهي الفيلم في الساعة التاسعة مساءً. | [ðə fɪlm ɛndz æt naɪ̯n ˌpiː.ˈɛm] | [ðə fɪlm ɛnz ət naɪ̯m ˌpiː.ˈɛm]
English::A1::Telling the time | Can I help you? | هل يمكنني مساعدتك؟ | [kæn aɪ̯ hɛlp j uː] | [kən aɪ̯ hɛlp jə]
English::A1::Telling the time | It is noon. | إنه منتصف النهار. | [ɪt ɪz nuːn] | [ɪts nuːn]
English::A1::Telling the time | It is midnight. | إنه منتصف الليل. | [ɪt ɪz ˈmɪd.naɪ̯t] | [ɪts ˈmɪd.naɪ̯t]
English::A1::Telling the time | We eat lunch at one pm. | نأكل الغداء في الساعة الواحدة ظهراً. | [wiː iːt lʌntʃ æt wʌn ˌpiː.ˈɛm] | [wiː iːt lʌntʃ ət wʌm ˌpiː.ˈɛm]
English::A1::Telling the time | I can speak English. | أستطيع التحدث بالإنكليزية. | [aɪ̯ kæn spiːk ˈɪŋ.ɡlɪʃ] | [aɪ̯ kən spiːk ˈɪŋ.ɡlɪʃ]
English::A1::Telling the time | Can he drive a car? | هل يمكنه قيادة سيارة؟ | [kæn hiː draɪ̯v ə kɑː] | [kən i draɪ̯v ə kɑː]
English::A1::Telling the time | They can play chess. | يمكنهم لعب الشطرنج. | [ðeɪ̯ kæn pleɪ̯ tʃɛs] | [ðeɪ̯ kən pleɪ̯ tʃɛs]
English::A1::Telling the time | It is ten past eight. | أنها الثامنة وعشر دقائق. | [ɪt ɪz tɛn pɑːst eɪ̯t] | [ɪts tɛm pɑːst eɪ̯t]
English::A1::Telling the time | It is twenty to seven. | أنها السابعة إلا ثلثاً. | [ɪt ɪz ˈtwɛn.ti t ə ˈsɛ.vn̩] | [ɪts ˈtwɛn.ti tə ˈsɛ.vn̩]
English::A1::Telling the time | Is it late? | هل الوقت متأخر؟ | [ɪz ɪt leɪ̯t] | [ɪz ɪt leɪ̯t]
English::A1::Telling the time | It is early in the morning. | الوقت مبكر في الصباح. | [ɪt ɪz ˈɜː.li ɪn ðə ˈmɔː.nɪŋ] | [ɪts ˈɜː.li ɪn ðə ˈmɔː.nɪŋ]
English::A1::Telling the time | Hurry, we have no time. | أسرع، ليس لدينا وقت. | [ˈhʌ.ɹi wiː hæv nəʊ̯ taɪ̯m] | [ˈhʌ.ɹi wiː hæv nəʊ̯ taɪ̯m]
English::A1::Telling the time | The lesson is one hour long. | مدة الدرس ساعة واحدة. | [ðə ˈlɛs.n̩ ɪz wʌn aʊ̯.ə lɒŋ] | [ðə ˈlɛs.n̩ ɪz wʌn aʊ̯.ə lɒŋ]
English::A1::Telling the time | Give me a minute. | أعطني دقيقة. | [ɡɪv miː ə ˈmɪ.nɪt] | [ɡɪv miː ə ˈmɪ.nɪt]
English::A1::Telling the time | Look at your watch. | انظر إلى ساعتك. | [lʊk æt jɔː wɒtʃ] | [lʊk ət jə wɒtʃ]
English::A1::Telling the time | I cannot hear the clock. | لا أستطيع سماع الساعة. | [aɪ̯ ˈkæn.nɒt hɪə ðə klɒk] | [aɪ̯ kɑːnt hɪə ðə klɒk]
English::A1::Telling the time | What time do you sleep? | في أي وقت تنام؟ | [wɒt taɪ̯m d uː j uː sliːp] | [wɒt taɪ̯m də jə sliːp]
