English::A1::Directions | Go straight on. | اذهب إلى الأمام مباشرة. | [ˈɡəʊ̯ ˈstɹeɪ̯t ˈɒn] | [ɡəʊ̯ ˈstɹeɪ̯t ˈɒn]
English::A1::Directions | Turn left at the corner. | انعطف يساراً عند الزاوية. | [ˈtʰɜːn ˈlɛft æt ðə ˈkʰɔː.nə] | [ˈtʰɜːn ˈlɛft ət ðə ˈkʰɔː.nə]
English::A1::Directions | Turn right after the bank. | انعطف يميناً بعد البنك. | [ˈtʰɜːn ˈɹaɪ̯t ˈɑːf.tʰə ðə ˈbæŋk] | [ˈtʰɜːn ˈɹaɪ̯t ˈɑːf.tʰə ðə ˈbæŋk]
English::A1::Directions | Walk past the bus station. | امشِ متجاوزاً محطة الحافلات. | [ˈwɔːk ˈpʰɑːst ðə ˈbʌs ˌstʰeɪ̯.ʃn̩] | [ˈwɔːk ˈpʰɑːs ðə ˈbʌs ˌstʰeɪ̯.ʃn̩]
English::A1::Directions | Cross the road carefully. | اعبر الطريق بحذر. | [ˈkʰɹɒs ðə ˈɹəʊ̯d ˈkʰɛə̯.fəl.i] | [ˈkʰɹɒs ðə ˈɹəʊ̯d ˈkʰɛə̯.fli]
English::A1::Directions | Go into the park. | ادخل إلى الحديقة. | [ˈɡəʊ̯ ˈɪn.tʰʊ ðə ˈpʰɑːk] | [ɡəʊ̯ ˈɪn.tʰə ðə ˈpʰɑːk]
English::A1::Directions | Walk up the hill. | امشِ صعوداً على التل. | [ˈwɔːk ˈʌp ðə ˈhɪl] | [ˈwɔːk ˈʌp ðə ˈhɪl]
English::A1::Directions | Go down the street. | اذهب نزولاً في الشارع. | [ˈɡəʊ̯ ˈdaʊ̯n ðə ˈstɹiːt] | [ɡəʊ̯ ˈdaʊ̯n ðə ˈstɹiːt]
English::A1::Directions | Stop at the traffic lights. | توقف عند إشارة المرور. | [ˈstʰɒp æt ðə ˈtʰɹæf.ɪk ˌlaɪ̯ts] | [ˈstʰɒp ət ðə ˈtʰɹæf.ɪk ˌlaɪ̯ts]
English::A1::Directions | Where is the train station? | أين محطة القطار؟ | [ˈwɛə̯ ˈɪz ðə ˈtʰɹeɪ̯n ˌstʰeɪ̯.ʃn̩] | [ˈwɛə̯ z ðə ˈtʰɹeɪ̯n ˌstʰeɪ̯.ʃn̩]
English::A1::Directions | It is on the left. | إنها على اليسار. | [ˈɪt ˈɪz ɒn ðə ˈlɛft] | [ɪt s ɒn ðə ˈlɛft]
English::A1::Directions | It is on the right. | إنها على اليمين. | [ˈɪt ˈɪz ɒn ðə ˈɹaɪ̯t] | [ɪt s ɒn ðə ˈɹaɪ̯t]
English::A1::Directions | Walk straight to the museum. | امشِ مباشرة إلى المتحف. | [ˈwɔːk ˈstɹeɪ̯t tʰʊ ðə mjuːˈziː.əm] | [ˈwɔːk ˈstɹeɪ̯t tə ðə mjuːˈziː.əm]
English::A1::Directions | Turn left near the school. | انعطف يساراً بالقرب من المدرسة. | [ˈtʰɜːn ˈlɛft ˈnɪə̯ ðə ˈskuːl] | [ˈtʰɜːn ˈlɛft ˈnɪə̯ ðə ˈskuːl]
English::A1::Directions | Go past the supermarket. | مرّ بالمتجر الكبير. | [ˈɡəʊ̯ ˈpʰɑːst ðə ˈsuː.pʰəˌmɑː.kʰɪt] | [ɡəʊ̯ ˈpʰɑːs ðə ˈsuː.pʰəˌmɑː.kʰɪt]
English::A1::Directions | Walk across the bridge. | امشِ عبر الجسر. | [ˈwɔːk əˈkʰɹɒs ðə ˈbɹɪd͡ʒ] | [ˈwɔːk əˈkʰɹɒs ðə ˈbɹɪd͡ʒ]
English::A1::Directions | Take the second street on the right. | خذ الشارع الثاني على اليمين. | [ˈtʰeɪ̯k ðə ˈsɛk.ənd ˈstɹiːt ɒn ðə ˈɹaɪ̯t] | [ˈtʰeɪ̯k ðə ˈsɛk.ənd ˈstɹiːt ɒn ðə ˈɹaɪ̯t]
English::A1::Directions | Do not turn right here. | لا تنعطف يميناً هنا. | [ˈduː ˈnɒt ˈtʰɜːn ˈɹaɪ̯t ˈhɪə̯] | [dəʊ̯n ˈtʰɜːn ˈɹaɪ̯t ˈhɪə̯]
