German::A1::Numbers, Time & Dates | Wie viel Uhr ist es? | What time is it? | [viː fiːl ˈʔuːɐ̯ ʔɪst ʔɛs] | [vi fiːl ˈʔuːɐ̯ ɪs.tɛs]
German::A1::Numbers, Time & Dates | Es ist ein Uhr. | It is one o'clock. | [ʔɛs ʔɪst ʔaɪ̯n ˈʔuːɐ̯] | [ɛs ɪs.taɪ̯n ˈʔuːɐ̯]
German::A1::Numbers, Time & Dates | Es ist zwei Uhr. | It is two o'clock. | [ʔɛs ʔɪst tsvaɪ̯ ˈʔuːɐ̯] | [ɛs ɪst tsvaɪ̯ ˈʔuːɐ̯]
German::A1::Numbers, Time & Dates | Es ist drei Uhr. | It is three o'clock. | [ʔɛs ʔɪst dʁaɪ̯ ˈʔuːɐ̯] | [ɛs ɪst dʁaɪ̯ ˈʔuːɐ̯]
German::A1::Numbers, Time & Dates | Es ist vier Uhr. | It is four o'clock. | [ʔɛs ʔɪst fiːɐ̯ ˈʔuːɐ̯] | [ɛs ɪst fiɐ̯ ˈʔuːɐ̯]
German::A1::Numbers, Time & Dates | Es ist fünf Uhr. | It is five o'clock. | [ʔɛs ʔɪst fʏnf ˈʔuːɐ̯] | [ɛs ɪst fʏɱf ˈʔuːɐ̯]
German::A1::Numbers, Time & Dates | Es ist halb sechs. | It is half past five. | [ʔɛs ʔɪst halp zɛks] | [ɛs ɪst halp zɛks]
German::A1::Numbers, Time & Dates | Es ist Viertel nach sieben. | It is quarter past seven. | [ʔɛs ʔɪst ˈfiːɐ̯.tʰəl naːχ ˈziː.bən] | [ɛs ɪst ˈfiːɐ̯.tl̩ naːχ ˈziː.bm̩]
German::A1::Numbers, Time & Dates | Es ist Viertel vor acht. | It is quarter to eight. | [ʔɛs ʔɪst ˈfiːɐ̯.tʰəl foːɐ̯ ʔaχt] | [ɛs ɪst ˈfiːɐ̯.tl̩ foɐ̯ raχt]
German::A1::Numbers, Time & Dates | Es ist zehn nach neun. | It is ten past nine. | [ʔɛs ʔɪst tseːn naːχ nɔʏ̯n] | [ɛs ɪst tseːn naːχ nɔʏ̯n]
German::A1::Numbers, Time & Dates | Es ist zwanzig vor zehn. | It is twenty to ten. | [ʔɛs ʔɪst ˈtsvan.tsɪç foːɐ̯ tseːn] | [ɛs ɪst ˈtsvan.tsɪç foɐ̯ tseːn]
German::A1::Numbers, Time & Dates | Wann beginnt der Kurs? | When does the course start? | [van bəˈɡɪnt deːɐ̯ kʰʊʁs] | [van bəˈɡɪn deɐ̯ kʰʊʁs]
German::A1::Numbers, Time & Dates | Der Kurs beginnt um neun Uhr. | The course starts at nine o'clock. | [deːɐ̯ kʰʊʁs bəˈɡɪnt ʔʊm nɔʏ̯n ˈʔuːɐ̯] | [dɐ kʰʊʁs bəˈɡɪnt ʊm nɔʏ̯n ˈʔuːɐ̯]
German::A1::Numbers, Time & Dates | Wann endet die Schule? | When does school end? | [van ˈʔɛn.dət diː ˈʃuː.lə] | [van ˈʔɛn.dət di ˈʃuː.lə]
German::A1::Numbers, Time & Dates | Die Schule endet um ein Uhr. | School ends at one o'clock. | [diː ˈʃuː.lə ˈʔɛn.dət ʔʊm ʔaɪ̯n ˈʔuːɐ̯] | [di ˈʃuː.lə ˈʔɛn.dət ʊm aɪ̯n ˈʔuːɐ̯]
German::A1::Numbers, Time & Dates | Ich stehe um sieben Uhr auf. | I get up at seven o'clock. | [ʔɪç ˈʃteː.ə ʔʊm ˈziː.bən ˈʔuːɐ̯ ʔaʊ̯f] | [ɪç ˈʃteː.ə ʊm ˈziː.bm̩ ˈʔuːɐ̯ ʔaʊ̯f]
German::A1::Numbers, Time & Dates | Am Morgen trinke ich Kaffee. | In the morning I drink coffee. | [ʔam ˈmɔʁ.ɡən ˈtʰʁɪŋ.kə ʔɪç ˈkʰa.feː] | [am ˈmɔɐ̯.ɡn̩ ˈtʰʁɪŋ.kɪç ˈkʰa.feː]
