Japanese::N5::Food & Restaurant Ordering | メニューをください。 | Please give me the menu. | [me̞nyː o̞ kɯ̟ᵝda̠sa̠i] | [me̞nyː o̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Food & Restaurant Ordering | 水をふたつおねがいします。 | Two waters, please. | [mizɯ̟ᵝ o̞ fɯ̟ᵝta̠tsɨᵝ o̞ne̞ɡa̠iɕima̠sɨᵝ] | [mizɯ̟ᵝ o̞ fɯ̟ᵝta̠tsɨᵝ o̞ne̞ɡa̠iɕima̠sɨᵝ]
Japanese::N5::Food & Restaurant Ordering | ラーメンを食べます。 | I will eat ramen. | [ɾaːme̞ɴ o̞ ta̠be̞ma̠sɨᵝ] | [ɾaːme̞ŋ o̞ ta̠be̞ma̠sɨᵝ]
Japanese::N5::Food & Restaurant Ordering | お茶を飲みます。 | I drink tea. | [o̞tɕa̠ o̞ no̞mima̠sɨᵝ] | [o̞tɕa̠ o̞ no̞mima̠sɨᵝ]
Japanese::N5::Food & Restaurant Ordering | これをみっつください。 | Please give me three of these. | [ko̞ɾe̞ o̞ miːtsɨᵝ kɯ̟ᵝda̠sa̠i] | [ko̞ɾe̞ o̞ miːtsɨᵝ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Food & Restaurant Ordering | りんごをひとつおねがいします。 | One apple, please. | [ɾiŋɡo̞ o̞ hito̞tsɨᵝ o̞ne̞ɡa̠iɕima̠sɨᵝ] | [ɾiŋɡo̞ o̞ hito̞tsɨᵝ o̞ne̞ɡa̠iɕima̠sɨᵝ]
Japanese::N5::Food & Restaurant Ordering | ビールをふたほんください。 | Please give me two bottles of beer. | [biːɾɯ̟ᵝ o̞ fɯ̟ᵝta̠ho̞ɴ kɯ̟ᵝda̠sa̠i] | [biːɾɯ̟ᵝ o̞ fɯ̟ᵝta̠ho̞ɴ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Food & Restaurant Ordering | これを食べてください。 | Please eat this. | [ko̞ɾe̞ o̞ ta̠be̞te̞ kɯ̟ᵝda̠sa̠i] | [ko̞ɾe̞ o̞ ta̠be̞te̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Food & Restaurant Ordering | 温かいお茶を飲んでください。 | Please drink warm tea. | [a̠ta̠ta̠ka̠i o̞tɕa̠ o̞ no̞nde̞ kɯ̟ᵝda̠sa̠i] | [a̠ta̠ta̠ka̠i o̞tɕa̠ o̞ no̞nde̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Food & Restaurant Ordering | ご飯をひとつください。 | Please give me one bowl of rice. | [ɡo̞ha̠ɴ o̞ hito̞tsɨᵝ kɯ̟ᵝda̠sa̠i] | [ɡo̞ha̠ŋ o̞ hito̞tsɨᵝ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Food & Restaurant Ordering | お勘定をおねがいします。 | The bill, please. | [o̞ka̠ndʑoː o̞ o̞ne̞ɡa̠iɕima̠sɨᵝ] | [o̞ka̠ndʑoː o̞ o̞ne̞ɡa̠iɕima̠sɨᵝ]
Japanese::N5::Food & Restaurant Ordering | スプーンをください。 | Please give me a spoon. | [sɨᵝpɯ̟ᵝːɴ o̞ kɯ̟ᵝda̠sa̠i] | [sɨᵝpɯ̟ᵝːŋ o̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Food & Restaurant Ordering | フォークをおねがいします。 | A fork, please. | [foːkɯ̟ᵝ o̞ o̞ne̞ɡa̠iɕima̠sɨᵝ] | [foːkɯ̟ᵝ o̞ o̞ne̞ɡa̠iɕima̠sɨᵝ]
Japanese::N5::Food & Restaurant Ordering | パンをふたつ買いました。 | I bought two bread rolls. | [pa̠ɴ o̞ fɯ̟ᵝta̠tsɨᵝ ka̠imiɕita̠] | [pa̠ŋ o̞ fɯ̟ᵝta̠tsɨᵝ ka̠imiɕta̠]
Japanese::N5::Food & Restaurant Ordering | サラダを食べます。 | I will eat salad. | [sa̠ɾa̠da̠ o̞ ta̠be̞ma̠sɨᵝ] | [sa̠ɾa̠da̠ o̞ ta̠be̞ma̠sɨᵝ]
Japanese::N5::Food & Restaurant Ordering | ジュースを飲みます。 | I will drink juice. | [dʑɯ̟ᵝːsɨᵝ o̞ no̞mima̠sɨᵝ] | [dʑɯ̟ᵝːsɨᵝ o̞ no̞mima̠sɨᵝ]
Japanese::N5::Food & Restaurant Ordering | 魚を食べました。 | I ate fish. | [sa̠ka̠na̠ o̞ ta̠be̞ma̠ɕita̠] | [sa̠ka̠na̠ o̞ ta̠be̞ma̠ɕta̠]
Japanese::N5::Food & Restaurant Ordering | 牛乳を飲みたいです。 | I want to drink milk. | [ɡyːnyː o̞ no̞mita̠i de̞sɨᵝ] | [ɡyːnyː o̞ no̞mita̠i de̞sɨᵝ]
Japanese::N5::Food & Restaurant Ordering | 卵をよっつ買いました。 | I bought four eggs. | [ta̠ma̠ɡo̞ o̞ jo̞ːtsɨᵝ ka̠imiɕita̠] | [ta̠ma̠ɡo̞ o̞ jo̞ːtsɨᵝ ka̠imiɕta̠]
Japanese::N5::Food & Restaurant Ordering | 肉を食べません。 | I do not eat meat. | [nikɯ̟ᵝ o̞ ta̠be̞ma̠se̞ɴ] | [nikɯ̟ᵝ o̞ ta̠be̞ma̠se̞ŋ]
Japanese::N5::Food & Restaurant Ordering | ワインを飲ま primary。 | I do not drink wine. | [wa̠iɴ o̞ no̞ma̠se̞ɴ] | [wa̠iŋ o̞ no̞ma̠se̞ŋ]
Japanese::N5::Food & Restaurant Ordering | おいしいケーキを食べました。 | I ate a delicious cake. | [o̞iɕiː keːki o̞ ta̠be̞ma̠ɕita̠] | [o̞iɕiː keːki o̞ ta̠be̞ma̠ɕta̠]
Japanese::N5::Food & Restaurant Ordering | 冷たい水をください。 | Please give me cold water. | [tsɨᵝme̞ta̠i mizɯ̟ᵝ o̞ kɯ̟ᵝda̠sa̠i] | [tsɨᵝme̞ta̠i mizɯ̟ᵝ o̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Food & Restaurant Ordering | 寿司を食べたいです。 | I want to eat sushi. | [sɨᵝɕi o̞ ta̠be̞ta̠i de̞sɨᵝ] | [sɨᵝɕi o̞ ta̠be̞ta̠i de̞sɨᵝ]
Japanese::N5::Food & Restaurant Ordering | 箸をください。 | Please give me chopsticks. | [ha̠ɕi o̞ kɯ̟ᵝda̠sa̠i] | [ha̠ɕi o̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Food & Restaurant Ordering | お弁当をひとつください。 | Please give me one bento. | [o̞be̞ntoː o̞ hito̞tsɨᵝ kɯ̟ᵝda̠sa̠i] | [o̞be̞ntoː o̞ hito̞tsɨᵝ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Food & Restaurant Ordering | 果物を食べました。 | I ate fruit. | [kɯ̟ᵝda̠mo̞no̞ o̞ ta̠be̞ma̠ɕita̠] | [kɯ̟ᵝda̠mo̞no̞ o̞ ta̠be̞ma̠ɕta̠]
Japanese::N5::Food & Restaurant Ordering | 紅茶を飲みますか。 | Will you drink black tea? | [koːtɕa̠ o̞ no̞mima̠sɨᵝ ka̠] | [koːtɕa̠ o̞ no̞mima̠sɨᵝ ka̠]
Japanese::N5::Food & Restaurant Ordering | スープを飲んでください。 | Please drink/eat the soup. | [sɨᵝːpɯ̟ᵝ o̞ no̞nde̞ kɯ̟ᵝda̠sa̠i] | [sɨᵝːpɯ̟ᵝ o̞ no̞nde̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Food & Restaurant Ordering | ごちそうさまでした。 | Thank you for the meal. | [ɡo̞tɕisoːsa̠ma̠de̞ɕita̠] | [ɡo̞tɕisoːsa̠ma̠de̞ɕta̠]
