Japanese::N5::Hobbies & Free-Time Activities | 暇な時に音楽を聴きます。 | I listen to music in my free time. | [hima͍ na͍ to̞ki ni o̞ɴɡa͍kɯ͍ o̞ ki kɯ͍ma͍sɨ̥] | [hima͍ na͍ to̞ki ɲi o̞ŋɡa͍kɯ͍ o̞ kikɯ͍ma͍s]
Japanese::N5::Hobbies & Free-Time Activities | 私の趣味は映画を見ることです。 | My hobby is watching movies. | [wa͍ta͍ɕi no̞ ɕɯ͍mi wa̠ eːɡa͍ o̞ mi ɾɯ͍ ko̞to̞ de̞sɨ̥] | [wa͍ta͍ɕno̞ ɕɯ͍mi wa̠ eːɡa͍ o̞ miɾɯ͍ ko̞to̞ de̞s]
Japanese::N5::Hobbies & Free-Time Activities | 週末は友達とサッカーをします。 | I play soccer with my friends on weekends. | [ɕɯːma͍t͡sɯ͍ wa̠ to̞mo͍da͍t͡ɕi to̞ sa͍kːaː o̞ ɕima͍sɨ̥] | [ɕɯːma͍t͡s wa̠ to̞mo͍da͍t͡ɕʲi to̞ sa͍kːaː o̞ ɕima͍s]
Japanese::N5::Hobbies & Free-Time Activities | 写真を撮るのが好きです。 | I like taking photos. | [ɕa͍d͡ʑiɴ o̞ to̞ɾɯ͍ no̞ ɡa̠ sɯ͍ki de̞sɨ̥] | [ɕa͍d͡ʑiŋ o̞ to̞ɾɯ͍ no̞ ɡa͍ ski de̞s]
Japanese::N5::Hobbies & Free-Time Activities | 休みの日には本を読みます。 | I read books on my days off. | [ja͍sɯ͍mi no̞ hi ɲi wa̠ ho̞ɴ o̞ jo̞mi ma͍sɨ̥] | [ja͍sɯ͍mi no̞ hi ɲi wa̠ ho̞ɴ o̞ jo̞mi ma͍s]
Japanese::N5::Hobbies & Free-Time Activities | 一緒に料理を作りませんか。 | Won't you make cooking together with me? | [itːɕo̞ ni ɾjoːɾʲi o̞ t͡sɯ͍kɯ͍ɾʲi ma͍se̞ɴ ka͍] | [iɕːo̞ ɲi ɾjoːɾʲi o̞ t͡skɯ͍ɾʲima͍se̞ŋka͍]
Japanese::N5::Hobbies & Free-Time Activities | ギターを弾くことができます。 | I can play the guitar. | [ɡitaː o̞ hikɯ͍ ko̞to̞ ɡa̠ de̞ki ma͍sɨ̥] | [ɡitaː o̞ hikɯ͍ ko̞to̞ ɡa͍ de̞ki ma͍s]
Japanese::N5::Hobbies & Free-Time Activities | 公園を散歩するのが好きです。 | I like taking a walk in the park. | [koːe̞ɴ o̞ sa͍mpo̞ ɕɯ͍ɾɯ͍ no̞ ɡa̠ sɯ͍ki de̞sɨ̥] | [koːe̞ŋ o̞ sa͍mpo̞ ɕɾɯ͍ no̞ ɡa͍ ski de̞s]
Japanese::N5::Hobbies & Free-Time Activities | 毎晩ゲームをしています。 | I play games every night. | [ma͍iba͍ɴ ɡeːmɯ͍ o̞ ɕite̞ ima͍sɨ̥] | [ma͍iba͍ŋ ɡeːm o̞ ɕite͍ima͍s]
Japanese::N5::Hobbies & Free-Time Activities | 海で泳ぐのは楽しいです。 | Swimming in the sea is fun. | [ɯ͍mi de̞ o̞jo̞ɡɯ͍ no̞ wa̠ ta͍no̞ɕiː de̞sɨ̥] | [ɯ͍mi de̞ o̞jo̞ɡɯ͍ no̞ wa̠ ta͍no̞ɕiː de̞s]
Japanese::N5::Hobbies & Free-Time Activities | 友達と旅行に行くのが楽しみです。 | I am looking forward to going on a trip with my friends. | [to̞mo͍da͍t͡ɕi to̞ ɾjo̞koː ni ikɯ͍ no̞ ɡa̠ ta͍no̞ɕimi de̞sɨ̥] | [to̞mo͍da͍t͡ɕʲi to̞ ɾjo̞koː ɲiːkɯ͍ no̞ ɡa͍ ta͍no̞ɕimi de̞s]
