English::A1::Weather | It is sunny today. | الجو مشمس اليوم. | [ˈɪt ˈɪz ˈsʌn.i tʰəˈdeɪ̯] | [ɪt s ˈsʌn.i tʰəˈdeɪ̯]
English::A1::Weather | It is very cold outside. | الجو بارد جداً في الخارج. | [ˈɪt ˈɪz ˈvɛɹ.i ˈkʰəʊ̯ld ˌaʊ̯tˈsaɪ̯d] | [ɪt s ˈvɛɹ.i ˈkʰəʊ̯ld ˌaʊ̯tˈsaɪ̯d]
English::A1::Weather | Is it hot in summer? | هل الجو حار في الصيف؟ | [ˈɪz ˈɪt ˈhɒt ɪn ˈsʌm.ə] | [ɪz ɪt ˈhɒt ɪn ˈsʌm.ə]
English::A1::Weather | Yes, it is very hot. | نعم، الجو حار جداً. | [ˈjɛs ˈɪt ˈɪz ˈvɛɹ.i ˈhɒt] | [jɛs ɪt s ˈvɛɹ.i ˈhɒt]
English::A1::Weather | It is raining now. | إنها تمطر الآن. | [ˈɪt ˈɪz ˈɹeɪ̯n.ɪŋ ˈnaʊ̯] | [ɪt s ˈɹeɪ̯n.ɪŋ ˈnaʊ̯]
English::A1::Weather | The weather is nice. | الطقس جميل. | [ðə ˈwɛð.ə ˈɪz ˈnaɪ̯s] | [ðə ˈwɛð.ə z ˈnaɪ̯s]
English::A1::Weather | It is cloudy this morning. | الجو غائم هذا الصباح. | [ˈɪt ˈɪz ˈklaʊ̯.di ðɪs ˈmɔː.nɪŋ] | [ɪt s ˈklaʊ̯.di ðɪs ˈmɔː.nɪŋ]
English::A1::Weather | It is windy today. | الجو عاصف اليوم. | [ˈɪt ˈɪz ˈwɪn.di tʰəˈdeɪ̯] | [ɪt s ˈwɪn.di tʰəˈdeɪ̯]
English::A1::Weather | It is snowing in the mountains. | إنها تثلج في الجبال. | [ˈɪt ˈɪz ˈsnəʊ̯.ɪŋ ɪn ðə ˈmaʊ̯n.tʰɪnz] | [ɪt s ˈsnəʊ̯.ɪŋ ɪn ðə ˈmaʊ̯n.tʰɪnz]
English::A1::Weather | The sky is blue. | السماء زرقاء. | [ðə ˈskaɪ̯ ˈɪz ˈbluː] | [ðə ˈskaɪ̯ z ˈbluː]
English::A1::Weather | Is it foggy today? | هل الجو ضبابي اليوم؟ | [ˈɪz ˈɪt ˈfɒɡ.i tʰəˈdeɪ̯] | [ɪz ɪt ˈfɒɡ.i tʰəˈdeɪ̯]
English::A1::Weather | No, it is clear. | لا، الجو صافٍ. | [ˈnəʊ̯ ˈɪt ˈɪz ˈklɪə̯] | [nəʊ̯ ɪt s ˈklɪə̯]
English::A1::Weather | It is a warm day. | إنه يوم دافئ. | [ˈɪt ˈɪz ə ˈwɔːm ˈdeɪ̯] | [ɪt s ə ˈwɔːm ˈdeɪ̯]
