Spanish::A1::Talking about routines (I) | Yo trabajo en una oficina. | I work in an office. | [ˈʝo tɾaˈβa.xo en ˈu.na o.fiˈsi.na] | [ˈʝotɾaˈβaxoenuˈnaofiˈsina]
Spanish::A1::Talking about routines (I) | Tú trabajas en un hospital. | You work in a hospital. | [ˈtu tɾaˈβa.xas en un os.piˈtal] | [ˈtutɾaˈβaxasenunospiˈtal]
Spanish::A1::Talking about routines (I) | Él trabaja en una escuela. | He works in a school. | [ˈel tɾaˈβa.xa en ˈu.na esˈkwe.la] | [ˈeltɾaˈβaxaenuˈnaeskwela]
Spanish::A1::Talking about routines (I) | Ella trabaja en una tienda. | She works in a store. | [ˈe.ʝa tɾaˈβa.xa en ˈu.na ˈtjen.da] | [ˈe.ʝatɾaˈβaxaenuˈnaˈtjenda]
Spanish::A1::Talking about routines (I) | Nosotros trabajamos mucho. | We work a lot. | [noˈso.tɾos tɾa.βaˈxa.mos ˈmu.tʃo] | [noˈso.tɾostɾaβaˈxamozˈmutʃo]
Spanish::A1::Talking about routines (I) | Ellos trabajan todos los días. | They work every day. | [ˈe.ʝos tɾaˈβa.xan ˈto.ðos loz ˈdi.as] | [ˈe.ʝohtɾaˈβaxantoðozloˈzði.ah]
Spanish::A1::Talking about routines (I) | Yo estudio español. | I study Spanish. | [ˈʝo esˈtu.ðjo es.paˈɲol] | [ˈʝoehˈtuðjoespaˈɲol]
Spanish::A1::Talking about routines (I) | Tú estudias inglés. | You study English. | [ˈtu esˈtu.ðjas iŋˈɡles] | [ˈtuehˈtuðjasiŋˈɡleh]
Spanish::A1::Talking about routines (I) | Él estudia matemáticas. | He studies mathematics. | [ˈel esˈtu.ðja ma.teˈma.ti.kas] | [ˈelehˈtuðjamateˈmatikah]
Spanish::A1::Talking about routines (I) | Ella estudia historia. | She studies history. | [ˈe.ʝa esˈtu.ðja isˈto.ɾja] | [ˈe.ʝaehˈtuðjaisˈtoɾja]
Spanish::A1::Talking about routines (I) | Nosotros estudiamos por la mañana. | We study in the morning. | [noˈso.tɾos es.tuˈðja.mos poɾ la maˈɲa.na] | [noˈso.tɾosestuˈðjamospoɾlamaˈɲana]
