Spanish::A1::Food and restaurants | Quiero un café con leche, por favor. | I want a coffee with milk, please. | [ˈkje.ɾo uŋ ka.ˈfe kon ˈle.tʃe poɾ fa.ˈβ̞oɾ] | [ˈkje.ɾouŋ.kaˈfekon.ˈle.tʃepoɾ.faˈβ̞oɾ]
Spanish::A1::Food and restaurants | Me gustaría una ensalada. | I would like a salad. | [me ɣ̞us.ta.ˈɾi.a ˈu.na en.sa.ˈla.ð̞a] | [meɣ̞us.taˈɾi.aˈu.naen.saˈla.ð̞a]
Spanish::A1::Food and restaurants | ¿Qué desea pedir? | What would you like to order? | [ˈke d̪e.ˈse.a pe.ˈð̞iɾ] | [ˈke.ð̞eˈse.apeˈð̞iɾ]
Spanish::A1::Food and restaurants | Voy a pedir la sopa de verduras. | I'm going to order the vegetable soup. | [boi̯ a pe.ˈð̞iɾ la ˈso.pa ð̞e beɾ.ˈð̞u.ɾas] | [boi̯apeˈð̞iɾla.ˈso.pað̞e.beɾˈð̞u.ɾas]
Spanish::A1::Food and restaurants | ¿Tienen mesa para dos? | Do you have a table for two? | [ˈtje.nem ˈme.sa ˈpa.ɾa ð̞os] | [ˈtje.nemˈme.sapa.ɾað̞os]
Spanish::A1::Food and restaurants | La cuenta, por favor. | The check, please. | [la ˈkwen.ta poɾ fa.ˈβ̞oɾ] | [laˈkwen.tapoɾ.faˈβ̞oɾ]
Spanish::A1::Food and restaurants | ¿Me puede traer un vaso de agua? | Can you bring me a glass of water? | [me ˈpwe.ð̞e tɾa.ˈeɾ um ˈba.so ð̞e ˈa.ɣ̞wa] | [mepwe.ð̞etɾaˈeɾumˈba.soð̞e.ˈa.ɣ̞wa]
Spanish::A1::Food and restaurants | Este plato está delicioso. | This dish is delicious. | [ˈes.te ˈpla.to es.ˈta d̪e.li.ˈsjo.so] | [ˈes.teˈpla.toesˈtad̪e.liˈsjo.so]
Spanish::A1::Food and restaurants | ¿Cuánto cuesta el menú del día? | How much is the daily menu? | [ˈkwan.to ˈkwes.ta el me.ˈnu ð̞el ˈdi.a] | [ˈkwan.toˈkwes.taelmeˈnuð̞el.ˈdi.a]
Spanish::A1::Food and restaurants | Necesito una servilleta, por favor. | I need a napkin, please. | [ne.se.ˈsi.to ˈu.na seɾ.β̞i.ˈʝe.ta poɾ fa.ˈβ̞oɾ] | [neseˈsi.toˈu.naseɾβ̞iˈʝe.tapoɾ.faˈβ̞oɾ]
Spanish::A1::Food and restaurants | ¿Qué recomienda usted? | What do you recommend? | [ˈke re.ko.ˈmjen.d̪a us.ˈteð̞] | [ˈkereko.ˈmjen.d̪ausˈteð̞]
Spanish::A1::Food and restaurants | Prefiero la carne bien cocida. | I prefer the meat well done. | [pɾe.ˈfje.ɾo la ˈkaɾ.ne ˈβjen ko.ˈsi.ð̞a] | [pɾeˈfje.ɾola.ˈkaɾ.neβjeŋ.koˈsi.ð̞a]
Spanish::A1::Food and restaurants | ¿Tienen algo vegetariano? | Do you have anything vegetarian? | [ˈtje.nen ˈal.ɣ̞o be.xe.ta.ˈɾja.no] | [ˈtje.nenal.ɣ̞obe.xetaˈɾja.no]
Spanish::A1::Food and restaurants | Quisiera reservar una mesa para las ocho. | I would like to reserve a table for eight. | [ki.ˈsje.ɾa re.seɾ.ˈβ̞aɾ ˈu.na ˈme.sa ˈpa.ɾa las ˈo.tʃo] | [kiˈsje.ɾaresˌeɾˈβ̞aɾ.una.ˈme.sapa.ɾa.laˈso.tʃo]
Spanish::A1::Food and restaurants | El pan está muy fresco. | The bread is very fresh. | [el ˈpam es.ˈta mwi ˈfɾes.ko] | [elˈpamesˈtamwiˈfɾes.ko]
Spanish::A1::Food and restaurants | Voy a probar el postre de chocolate. | I'm going to try the chocolate dessert. | [boi̯ a pɾo.ˈβ̞aɾ el ˈpos.tɾe ð̞e tʃo.ko.ˈla.te] | [boi̯apɾoˈβ̞aɾel.ˈpos.tɾeð̞e.tʃokoˈla.te]
Spanish::A1::Food and restaurants | ¿Puedo ver la carta, por favor? | May I see the menu, please? | [ˈpwe.ð̞o beɾ la ˈkaɾ.ta poɾ fa.ˈβ̞oɾ] | [ˈpwe.ð̞oβeɾ.laˈkaɾ.tapoɾ.faˈβ̞oɾ]
Spanish::A1::Food and restaurants | No como carne, soy vegetariano. | I don't eat meat, I'm vegetarian. | [no ˈko.mo ˈkaɾ.ne soi̯ be.xe.ta.ˈɾja.no] | [noˈko.moˈkaɾ.nesoi̯.bexetaˈɾja.no]
Spanish::A1::Food and restaurants | Este restaurante tiene buenos precios. | This restaurant has good prices. | [ˈes.te res.tau̯.ˈɾan.te ˈtje.ne ˈbwe.nos ˈpɾe.sjos] | [ˈes.teˌres.tau̯ˈɾan.teˈtje.neˈbwe.nosˈpɾe.sjos]
Spanish::A1::Food and restaurants | Me trae un poco más de pan, por favor. | Bring me a little more bread, please. | [me ˈtɾa.e um ˈpo.ko mas ð̞e ˈpam poɾ fa.ˈβ̞oɾ] | [meˈtɾa.euŋˈpo.komaz.ð̞eˈpampoɾ.faˈβ̞oɾ]
Spanish::A1::Food and restaurants | La comida está un poco fría. | The food is a bit cold. | [la ko.ˈmi.ð̞a es.ˈta um ˈpo.ko ˈfɾi.a] | [lakoˈmi.ð̞aesˈtaum.ˈpo.koˈfɾi.a]
Spanish::A1::Food and restaurants | ¿Incluye el servicio la propina? | Does the service include the tip? | [iŋ.ˈklu.ʝe el seɾ.ˈβ̞i.sjo la pɾo.ˈpi.na] | [iŋˈklu.ʝeelseɾˈβ̞i.sjola.pɾoˈpi.na]
Spanish::A1::Food and restaurants | Tomo agua sin gas. | I'll have still water. | [ˈto.mo ˈa.ɣ̞wa sin ˈɣ̞as] | [ˈto.moˈa.ɣ̞wasiŋˈɣ̞as]
Spanish::A1::Food and restaurants | Ella pide siempre lo mismo. | She always orders the same thing. | [ˈe.ʝa ˈpi.ð̞e ˈsjem.pɾe lo ˈmiz.mo] | [ˈe.ʝaˈpi.ð̞eˈsjem.pɾeloˈmiz.mo]
Spanish::A1::Food and restaurants | Nosotros compartimos un plato grande. | We share a big dish. | [no.ˈso.tɾos kom.paɾ.ˈti.mos um ˈpla.to ˈɣ̞ɾan.d̪e] | [noˈso.tɾoskomˌpaɾˈti.mosum.ˈpla.toˈɣ̞ɾan.d̪e]
Spanish::A1::Food and restaurants | ¿Aceptan tarjeta de crédito? | Do you accept credit cards? | [a.ˈsep.tan taɾ.ˈxe.ta ð̞e ˈkɾe.ð̞i.to] | [aˈsep.tantaɾˈxe.tað̞e.ˈkɾe.ð̞i.to]
Spanish::A1::Food and restaurants | El camarero es muy amable. | The waiter is very kind. | [el ka.ma.ˈɾe.ɾo ez mwi a.ˈma.β̞le] | [elka.maˈɾe.ɾoez.mwja.ˈma.β̞le]
Spanish::A1::Food and restaurants | Voy a desayunar huevos con pan tostado. | I'm going to have eggs with toast for breakfast. | [boi̯ a ð̞e.sa.ʝu.ˈnaɾ ˈwe.β̞os kom ˈpan tos.ˈta.ð̞o] | [boi̯að̞esa.ʝuˈnaɾˈwe.β̞oskomˈpan.tosˈta.ð̞o]
Spanish::A1::Food and restaurants | Para el almuerzo, quiero arroz con pollo. | For lunch, I want rice with chicken. | [ˈpa.ɾa el al.ˈmweɾ.so ˈkje.ɾo a.ˈros kom ˈpo.ʝo] | [pa.ɾael.alˈmweɾ.soˈkje.ɾoa.ˈroskomˈpo.ʝo]
Spanish::A1::Food and restaurants | La cena incluye una bebida. | Dinner includes a drink. | [la ˈse.na iŋ.ˈklu.ʝe ˈu.na be.ˈβ̞i.ð̞a] | [laˈse.naiŋˈklu.ʝeu.nabeˈβ̞i.ð̞a]
Spanish::A1::Food and restaurants | ¿Cuánto tiempo tarda la comida? | How long does the food take? | [ˈkwan.to ˈtjem.po ˈtaɾ.ð̞a la ko.ˈmi.ð̞a] | [ˈkwan.toˈtjem.poˈtaɾ.ð̞ala.koˈmi.ð̞a]
Spanish::A1::Food and restaurants | Un té caliente, por favor. | A hot tea, please. | [un ˈte ka.ˈljen.te poɾ fa.ˈβ̞oɾ] | [unˈteka.ˈljen.tepoɾ.faˈβ̞oɾ]
Spanish::A1::Food and restaurants | La sopa está muy sabrosa. | The soup is very tasty. | [la ˈso.pa es.ˈta mwi sa.ˈβ̞ɾo.sa] | [laˈso.paesˈtamwi.saˈβ̞ɾo.sa]
Spanish::A1::Food and restaurants | ¿Hay una mesa cerca de la ventana? | Is there a table near the window? | [ai̯ ˈu.na ˈme.sa ˈseɾ.ka ð̞e la ben.ˈta.na] | [ai̯ˈu.naˈme.saˈseɾ.kað̞e.labenˈta.na]
Spanish::A1::Food and restaurants | Comemos fruta todos los días. | We eat fruit every day. | [ko.ˈme.mos ˈfɾu.ta ˈto.ð̞oz loz ˈd̪i.as] | [koˈme.mosˈfɾu.taˈto.ð̞oz.loð̞ˈi.as]
Spanish::A1::Food and restaurants | Este restaurante sirve comida típica. | This restaurant serves typical food. | [ˈes.te res.tau̯.ˈɾan.te ˈsiɾ.β̞e ko.ˈmi.ð̞a ˈti.pi.ka] | [ˈes.teˌres.tau̯ˈɾan.teˈsiɾ.β̞eko.ˈmi.ð̞aˈti.pi.ka]
Spanish::A1::Food and restaurants | Voy a pedir un jugo de naranja. | I'm going to order an orange juice. | [boi̯ a pe.ˈð̞iɾ un ˈxu.ɣ̞o ð̞e na.ˈɾan.xa] | [boi̯apeˈð̞iɾunˈxu.ɣ̞oð̞e.naˈɾan.xa]
Spanish::A1::Food and restaurants | La ensalada lleva tomate y lechuga. | The salad has tomato and lettuce. | [la en.sa.ˈla.ð̞a ˈʝe.β̞a to.ˈma.te i le.ˈtʃu.ɣ̞a] | [laen.saˈla.ð̞aˈʝe.β̞ato.ˈma.teile.ˈtʃu.ɣ̞a]
Spanish::A1::Food and restaurants | ¿Está incluido el postre? | Is dessert included? | [es.ˈta iŋ.ˈklwi.ð̞o el ˈpos.tɾe] | [esˈtaiŋˈklwi.ð̞oelˈpos.tɾe]
Spanish::A1::Food and restaurants | Gracias por la comida, estuvo deliciosa. | Thank you for the meal, it was delicious. | [ˈɣ̞ɾa.sjas poɾ la ko.ˈmi.ð̞a es.ˈtu.β̞o d̪e.li.ˈsjo.sa] | [ˈɣ̞ɾa.sjaspoɾ.lako.ˈmi.ð̞aesˈtu.β̞oð̞eliˈsjo.sa]
