English::A1::Colours & everyday objects | This is a red pen. | هذا قلم أحمر. | [ðɪs ɪz ə rɛd pɛn] | [ðɪs ɪz ə rɛd pɛn]
English::A1::Colours & everyday objects | That is a blue car. | تلك سيارة زرقاء. | [ðæt ɪz ə bluː kɑː] | [ðæt ɪz ə bluː kɑː]
English::A1::Colours & everyday objects | These are green apples. | هذا تفاح أخضر. | [ðiːz ɑː ɡriːn ˈæ.pl̩z] | [ðiːz ə ɡriːn ˈæ.pl̩z]
English::A1::Colours & everyday objects | Those are yellow flowers. | تلك زهور صفراء. | [ðəʊ̯z ɑː ˈjɛ.ləʊ̯ ˈflaʊ̯.əz] | [ðəʊ̯z ə ˈjɛ.ləʊ̯ ˈflaʊ̯.əz]
English::A1::Colours & everyday objects | The cat is black. | القط أسود. | [ðə kæt ɪz blæk] | [ðə kæt ɪz blæk]
English::A1::Colours & everyday objects | The paper is white. | الورق أبيض. | [ðə ˈpeɪ̯.pə ɹ ɪz waɪ̯t] | [ðə ˈpeɪ̯.pə ɹ ɪz waɪ̯t]
English::A1::Colours & everyday objects | I have a brown bag. | لدي حقيبة بنية. | [aɪ̯ hæv ə braʊ̯n bæɡ] | [aɪ̯ hæv ə braʊ̯m bæɡ]
English::A1::Colours & everyday objects | She wears a pink hat. | هي ترتدي قبعة وردية. | [ʃiː wɛːz ə pɪŋk hæt] | [ʃiː wɛːz ə pɪŋk hæt]
English::A1::Colours & everyday objects | He has a grey coat. | لديه معطف رمادي. | [hiː hæz ə ɡreɪ̯ kəʊ̯t] | [hiː hæz ə ɡreɪ̯ kəʊ̯t]
English::A1::Colours & everyday objects | Look at this orange book. | انظر إلى هذا الكتاب البرتقالي. | [lʊk æt ðɪs ˈɒ.rɪndʒ bʊk] | [lʊk ət ðɪs ˈɒ.rɪndʒ bʊk]
English::A1::Colours & everyday objects | This is a purple flower. | هذه زهرة بنفسجية. | [ðɪs ɪz ə ˈpɜː.pl̩ ˈflaʊ̯.ə] | [ðɪs ɪz ə ˈpɜː.pl̩ ˈflaʊ̯.ə]
English::A1::Colours & everyday objects | What colour is your key? | ما لون مفتاحك؟ | [wɒt ˈkʌ.lə ɹ ɪz jɔː kiː] | [wɒt ˈkʌ.lə ɹ ɪz jə kiː]
English::A1::Colours & everyday objects | My phone is black. | هاتفي أسود. | [maɪ̯ fəʊ̯n ɪz blæk] | [maɪ̯ fəʊ̯n ɪz blæk]
English::A1::Colours & everyday objects | That is an old watch. | تلك ساعة قديمة. | [ðæt ɪz ən əʊ̯ld wɒtʃ] | [ðæt ɪz ən əʊ̯ld wɒtʃ]
English::A1::Colours & everyday objects | This table is big. | هذه الطاولة كبيرة. | [ðɪs ˈteɪ̯.bl̩ ɪz bɪɡ] | [ðɪs ˈteɪ̯.bl̩ ɪz bɪɡ]
English::A1::Colours & everyday objects | These chairs are small. | هذه الكراسي صغيرة. | [ðiːz tʃɛːz ɑː smɔːl] | [ðiːz tʃɛːz ə smɔːl]
English::A1::Colours & everyday objects | Is this your umbrella? | هل هذه مظلتك؟ | [ɪz ðɪs jɔː ʌm.ˈbrɛ.lə] | [ɪz ðɪs jə ʌm.ˈbrɛ.lə]
English::A1::Colours & everyday objects | Those are heavy boxes. | تلك صناديق ثقيلة. | [ðəʊ̯z ɑː ˈhɛ.vi ˈbɒk.sɪz] | [ðəʊ̯z ə ˈhɛ.vi ˈbɒk.sɪz]
English::A1::Colours & everyday objects | This box is light. | هذا الصندوق خفيف. | [ðɪs bɒks ɪz laɪ̯t] | [ðɪs bɒks ɪz laɪ̯t]
English::A1::Colours & everyday objects | What is that object? | ما هذا الشيء؟ | [wɒt ɪz ðæt ˈɒb.dʒɪkt] | [wɒts ðæt ˈɒb.dʒɪkt]
English::A1::Colours & everyday objects | That is a new cup. | ذلك كوب جديد. | [ðæt ɪz ə njuː kʌp] | [ðæt ɪz ə njuː kʌp]
English::A1::Colours & everyday objects | These shoes are clean. | هذه الأحذية نظيفة. | [ðiːz ʃuːz ɑː kliːn] | [ðiːz ʃuːz ə kliːn]
English::A1::Colours & everyday objects | Those boots are dirty. | تلك الأحذية الطويلة متسخة. | [ðəʊ̯z buːts ɑː ˈdɜː.ti] | [ðəʊ̯z buːts ə ˈdɜː.ti]
English::A1::Colours & everyday objects | The sky is blue. | السماء زرقاء. | [ðə skaɪ̯ ɪz bluː] | [ðə skaɪ̯ ɪz bluː]
English::A1::Colours & everyday objects | Grass is green. | العشب أخضر. | [ɡrɑːs ɪz ɡriːn] | [ɡrɑːs ɪz ɡriːn]
English::A1::Colours & everyday objects | This is a dark room. | هذه غرفة مظلمة. | [ðɪs ɪz ə dɑːk ruːm] | [ðɪs ɪz ə dɑːk ruːm]
English::A1::Colours & everyday objects | That is a bright light. | ذلك ضوء ساطع. | [ðæt ɪz ə braɪ̯t laɪ̯t] | [ðæt ɪz ə braɪ̯t laɪ̯t]
English::A1::Colours & everyday objects | These glasses are mine. | هذه النظارات لي. | [ðiːz ˈɡlɑː.sɪz ɑː maɪ̯n] | [ðiːz ˈɡlɑː.sɪz ə maɪ̯n]
English::A1::Colours & everyday objects | Is that your coat? | هل هذا معطفك؟ | [ɪz ðæt jɔː kəʊ̯t] | [ɪz ðæt jə kəʊ̯t]
English::A1::Colours & everyday objects | I like this red dress. | أطلب هذا الفستان الأحمر. | [aɪ̯ laɪ̯k ðɪs rɛd drɛs] | [aɪ̯ laɪ̯k ðɪs rɛd drɛs]
