Japanese::N2::~あまり(に) | 緊張のあまり、声が出なかった。 | I was so nervous that I couldn't get any words out. | [kʲi.ɲ.tɕoː no a.ma.ɾi ko.e ɡa de.na.ka.tːa] | [kʲi.ɲ.tɕoː no a.ma.ɾi ko.e de.na.ka.tːa]
Japanese::N2::~あまり(に) | 嬉しさのあまり、涙が出てしまった。 | I was so overjoyed that I ended up crying. | [ɯ.ɾe.ɕi.sa no a.ma.ɾi na.mi.da ɡa de.te ɕi.ma.tːa] | [ɯ.ɾe.ɕi.sa no a.ma.ɾi na.mʲi.da de.te ɕi.ma.tːa]
Japanese::N2::~あまり(に) | 心配のあまり、一晩中眠れなかった。 | I was so worried that I couldn't sleep all night. | [ɕi.ɲ.pa.i no a.ma.ɾi çi.to.ba.ɲ.dʑɯː ne.mɯ.ɾe.na.ka.tːa] | [ɕi.ɲ.pa.i no a.ma.ɾi çi̥.to.ba.ɲ.dʑɯː ne.mɯ.ɾe.na.ka.tːa]
Japanese::N2::~あまり(に) | 驚きのあまり、言葉を失った。 | I was so astonished that I was at a loss for words. | [o.do.ɾo.ki no a.ma.ɾi ko.to.ba o ɯ.ɕi.na.tːa] | [o.do.ɾo.kʲi no a.ma.ɾi ko.to.ba ɯ.ɕi.na.tːa]
Japanese::N2::~あまり(に) | 悲しみのあまり、何も手につかなかった。 | I was so overcome with sadness that I couldn't focus on anything. | [ka.na.ɕi.mi no a.ma.ɾi na.ni mo te ni t͡sɯ.ka.na.ka.tːa] | [ka.na.ɕi.mʲi no a.ma.ɾi na.nʲi mo te ni t͡sɯ.ka.na.ka.tːa]
Japanese::N2::~あまり(に) | 忙しさのあまり、食事をとることさえ忘れていた。 | I was so busy that I even forgot to eat. | [i.so.ɡa.ɕi.sa no a.ma.ɾi ɕo.kɯ.dʑi o to.ɾɯ ko.to sa.e wa.sɯ.ɾe.te i.ta] | [i.so.ɡa.ɕi.sa no a.ma.ɾi ɕo.kɯ.dʑi to.ɾɯ ko.to sa.e wa.sɯ.ɾe.te i.ta]
Japanese::N2::~あまり(に) | 怒りのあまり、彼は机を叩いた。 | He was so angry that he pounded the desk. | [i.ka.ɾi no a.ma.ɾi ka.ɾe wa t͡sɯ.kɯ.e o ta.ta.i.ta] | [i.ka.ɾi no a.ma.ɾi ka.ɾe t͡sɯ.kɯ.e ta.ta.i̥.ta]
Japanese::N2::~あまり(に) | 疲れがひどいあまりに、立っていられなくなった。 | I was so exhausted that I couldn't even stand. | [t͡sɯ.ka.ɾe ɡa çi.do.i a.ma.ɾi ni ta.tːe i.ɾa.ɾe.na.kɯ na.tːa] | [t͡sɯ.ka.ɾe çi.do.i a.ma.ɾi ni ta.tːe i.ɾa.ɾe.na.kɯ na.tːa]
Japanese::N2::~あまり(に) | あまりに急いでいたため、財布を忘れてしまった。 | Because I was in such a hurry, I forgot my wallet. | [a.ma.ɾi ni i.so.i.de i.ta ta.me sa.i.fɯ o wa.sɯ.ɾe.te ɕi.ma.tːa] | [a.ma.ɾi ni i.so.i̥.de i.ta ta.me sa.i.fɯ wa.sɯ.ɾe.te ɕi.ma.tːa]
Japanese::N2::~あまり(に) | 感激のあまり、彼女は何も言えなかった。 | She was so moved that she couldn't say a word. | [ka.ɲ.ɡe.ki no a.ma.ɾi ka.no.dʑo wa na.ni mo i.e.na.ka.tːa] | [ka.ɲ.ɡe.kʲi no a.ma.ɾi ka.no.dʑo na.nʲi mo i.e.na.ka.tːa]
Japanese::N2::~あまり(に) | 期待のあまり、結果を見る前から胸が高鳴った。 | My expectations were so high that my heart raced even before seeing the results. | [ki.ta.i no a.ma.ɾi ke.ka o mi.rɯ ma.e ka.ɾa mɯ.ne ɡa ta.ka.na.tːa] | [kʲi.ta.i no a.ma.ɾi ke.ka mi.rɯ ma.e ka.ɾa mɯ.ne ta.kʲa.na.tːa]
Japanese::N2::~あまり(に) | 恥ずかしさのあまり、顔が真っ赤になった。 | I was so embarrassed that my face turned bright red. | [ha.zɯ.ka.ɕi.sa no a.ma.ɾi ka.o ɡa ma.kːa ni na.tːa] | [ha.zɯ.ka.ɕi.sa no a.ma.ɾi ka.o ma.kːa ni na.tːa]
Japanese::N2::~あまり(に) | あまりの寒さに、手がかじかんでしまった。 | The cold was so intense that my hands went numb. | [a.ma.ɾi no sa.mɯ.sa ni te ɡa ka.dʑi.ka.ɲ.de ɕi.ma.tːa] | [a.ma.ɾi no sa.mɯ.sa ni te ka.dʑi.ka.ɲ.de ɕi.ma.tːa]
Japanese::N2::~あまり(に) | 練習しすぎたあまりに、足を痛めてしまった。 | I practiced so much that I hurt my leg. | [re.ɲ.ɕɯː ɕi.sɯ.ɡi.ta a.ma.ɾi ni a.ɕi o i.ta.me.ta ɕi.ma.tːa] | [ɾe.ɲ.ɕɯː ɕi̥.sɯ.ɡi.ta a.ma.ɾi ni a.ɕi i.ta.me.te ɕi.ma.tːa]
Japanese::N2::~あまり(に) | 感動のあまり、しばらく口がきけなかった。 | I was so deeply moved that I couldn't speak for a while. | [ka.ɲ.doː no a.ma.ɾi ɕi.ba.ɾa.kɯ kɯ.tɕi ɡa ki.ke.na.ka.tːa] | [ka.ɲ.doː no a.ma.ɾi ɕi.ba.ɾa.kɯ kɯ.tɕi kʲi.ke.na.ka.tːa]
Japanese::N2::~あまり(に) | 焦りのあまり、簡単な計算を間違えてしまった。 | I was so flustered that I made a mistake in a simple calculation. | [a.se.ɾi no a.ma.ɾi ka.ɲ.ta.ɲ.na keː.sa.ɲ o ma.tɕi.ɡa.e.te ɕi.ma.tːa] | [a.se.ɾi no a.ma.ɾi ka.ɲ.ta.ɲ.na keː.sa.ɲ ma.tɕi.ɡa.e.te ɕi.ma.tːa]
Japanese::N2::~あまり(に) | あまりの美しさに、思わず立ち止まった。 | It was so beautiful that I stopped in my tracks without thinking. | [a.ma.ɾi no ɯ.t͡sɯ.kɯ.ɕi.sa ni o.mo.wa.zɯ ta.tɕi.do.ma.tːa] | [a.ma.ɾi no ɯ.t͡sɯ.kɯ.ɕi.sa ni o.mo.wa.zɯ ta.tɕi.do.ma.tːa]
Japanese::N2::~あまり(に) | 空腹のあまり、目の前が真っ暗になった。 | I was so hungry that everything went dark before my eyes. | [kɯː.fɯ.kɯ no a.ma.ɾi me no ma.e ɡa ma.kːɯ.ɾa ni na.tːa] | [kɯː.fɯ.kɯ no a.ma.ɾi me no ma.e ma.kːɯ.ɾa ni na.tːa]
Japanese::N2::~あまり(に) | 考えすぎたあまり、決められなくなってしまった。 | I thought about it so much that I became unable to decide. | [ka.ɲ.ɡa.e.sɯ.ɡi.ta a.ma.ɾi ki.me.ɾa.ɾe.na.kɯ na.tːe ɕi.ma.tːa] | [ka.ɲ.ɡa.e.sɯ.ɡi.ta a.ma.ɾi kʲi.me.ɾa.ɾe.na.kɯ na.tːe ɕi.ma.tːa]
Japanese::N2::~あまり(に) | 喜びのあまり、思わず飛び上がった。 | I was so delighted that I jumped for joy without thinking. | [jo.ɾo.ko.bi no a.ma.ɾi o.mo.wa.zɯ to.bi.a.ɡa.tːa] | [jo.ɾo.ko.bʲi no a.ma.ɾi o.mo.wa.zɯ to.bʲi.a.ɡa.tːa]
Japanese::N2::~あまり(に) | あまりのショックに、しばらく立ち直れなかった。 | The shock was so great that I couldn't recover for a while. | [a.ma.ɾi no ɕo.kːɯ ni ɕi.ba.ɾa.kɯ ta.tɕi.na.o.ɾe.na.ka.tːa] | [a.ma.ɾi no ɕo.kːɯ ni ɕi.ba.ɾa.kɯ ta.tɕi.na.o.ɾe.na.ka.tːa]
