English::A1::Past events (irregular verbs) | I went to the cinema yesterday. | ذهبتُ إلى السينما الأمس. | [ˈaɪ̯ ˈwɛnt tʰʊ ðə ˈsɪn.ə.mɑː ˈjɛs.tə.deɪ̯] | [aɪ̯ ˈwɛn tə ðə ˈsɪn.ə.mə ˈjɛs.tə.deɪ̯]
English::A1::Past events (irregular verbs) | She bought a new dress last week. | اشترت فستاناً جديداً الأسبوع الماضي. | [ˈʃiː ˈbɔːt ə ˈnjuː ˈdɹɛs ˈlɑːst ˈwiːk] | [ʃi ˈbɔːt ə ˈnjuː ˈdɹɛs ˈlɑːs ˈwiːk]
English::A1::Past events (irregular verbs) | He ate pizza for dinner last night. | أكل بيتزا على العشاء الليلة الماضية. | [ˈhiː ˈɛt ˈpʰiːt.sə fɔː ˈdɪn.ə ˈlɑːst ˈnaɪ̯t] | [hi ˈɛt ˈpʰiːt.sə fə ˈdɪn.ə ˈlɑːs ˈnaɪ̯t]
English::A1::Past events (irregular verbs) | We drank coffee this morning. | شربنا القهوة هذا الصباح. | [ˈwiː ˈdɹæŋk ˈkʰɒf.i ðɪs ˈmɔː.nɪŋ] | [wi ˈdɹæŋk ˈkʰɒf.i ðɪs ˈmɔː.nɪŋ]
English::A1::Past events (irregular verbs) | They saw a movie on Sunday. | شاهدوا فيلماً يوم الأحد. | [ˈðeɪ̯ ˈsɔː ə ˈmuː.vi ɒn ˈsʌn.deɪ̯] | [ðeɪ̯ ˈsɔː ə ˈmuː.vi ɒn ˈsʌn.deɪ̯]
English::A1::Past events (irregular verbs) | I had breakfast at eight o'clock. | تناولت الإفطار في الساعة الثامنة. | [ˈaɪ̯ ˈhæd ˈbɹɛk.fəst æt ˈeɪ̯t əˈkl̥ɒk] | [aɪ̯ həd ˈbɹɛk.fəst ət ˈeɪ̯t əˈkl̥ɒk]
English::A1::Past events (irregular verbs) | She came home late yesterday. | عادت إلى المنزل متأخرة الأمس. | [ˈʃiː ˈkʰeɪ̯m ˈhəʊ̯m ˈleɪ̯t ˈjɛs.tə.deɪ̯] | [ʃi ˈkʰeɪ̯m ˈhəʊ̯m ˈleɪ̯t ˈjɛs.tə.deɪ̯]
English::A1::Past events (irregular verbs) | He made a delicious cake. | صنع كعكة لذيذة. | [ˈhiː ˈmeɪ̯d ə dɪˈlɪʃ.əs ˈkʰeɪ̯k] | [hi ˈmeɪ̯d ə dɪˈlɪʃ.əs ˈkʰeɪ̯k]
English::A1::Past events (irregular verbs) | We took the train to London. | أخذنا القطار إلى لندن. | [ˈwiː ˈtʰʊk ðə ˈtʰɹeɪ̯n tʰʊ ˈlʌn.dən] | [wi ˈtʰʊk ðə ˈtʰɹeɪ̯n tə ˈlʌn.dən]
English::A1::Past events (irregular verbs) | They slept for eight hours. | ناموا لمدة ثماني ساعات. | [ˈðeɪ̯ ˈslɛpt fɔː ˈeɪ̯t ˈaʊ̯.əz] | [ðeɪ̯ ˈslɛpt fər ˈeɪ̯t ˈaʊ̯.əz]
English::A1::Past events (irregular verbs) | I met my friend in the park. | قابلت صديقي في الحديقة. | [ˈaɪ̯ ˈmɛt maɪ̯ ˈfɹɛnd ɪn ðə ˈpʰɑːk] | [aɪ̯ ˈmɛt maɪ̯ ˈfɹɛn ɪn ðə ˈpʰɑːk]
English::A1::Past events (irregular verbs) | She read a book yesterday. | قرأت كتاباً الأمس. | [ˈʃiː ˈɹɛd ə ˈbʊk ˈjɛs.tə.deɪ̯] | [ʃi ˈɹɛd ə ˈbʊk ˈjɛs.tə.deɪ̯]
English::A1::Past events (irregular verbs) | He gave me a present. | أعطاني هدية. | [ˈhiː ˈɡeɪ̯v miː ə ˈpʰɹɛz.nt̩] | [hi ˈɡeɪ̯v mi ə ˈpʰɹɛz.nt̩]
English::A1::Past events (irregular verbs) | We wrote a letter to the teacher. | كتبنا رسالة إلى المعلم. | [ˈwiː ˈɹəʊ̯t ə ˈlɛt.ə tʰʊ ðə ˈtʰiː.t͡ʃə] | [wi ˈɹəʊ̯t ə ˈlɛt.ə tə ðə ˈtʰiː.t͡ʃə]
English::A1::Past events (irregular verbs) | They spoke English in class. | تحدثوا الإنجليزية في الفصل. | [ˈðeɪ̯ ˈspʰəʊ̯k ˈɪŋ.ɡlɪʃ ɪn ˈklɑːs] | [ðeɪ̯ ˈspʰəʊ̯k ˈɪŋ.ɡlɪʃ ɪn ˈklɑːs]
English::A1::Past events (irregular verbs) | I found my keys on the table. | وجدت مفاتيحي على الطاولة. | [ˈaɪ̯ ˈfaʊ̯nd maɪ̯ ˈkʰiːz ɒn ðə ˈtʰeɪ̯.bl̩] | [aɪ̯ ˈfaʊ̯n maɪ̯ ˈkʰiːz ɒn ðə ˈtʰeɪ̯.bl̩]
English::A1::Past events (irregular verbs) | She left the house at seven. | غادرت المنزل في الساعة السابعة. | [ˈʃiː ˈlɛft ðə ˈhaʊ̯s æt ˈsɛv.n̩] | [ʃi ˈlɛft ðə ˈhaʊ̯s ət ˈsɛv.n̩]
English::A1::Past events (irregular verbs) | He ran fast in the race. | ركض بسرعة في السباق. | [ˈhiː ˈɹæn ˈfɑːst ɪn ðə ˈɹeɪ̯s] | [hi ˈɹæn ˈfɑːst ɪn ðə ˈɹeɪ̯s]
English::A1::Past events (irregular verbs) | We drove to the beach. | قدنا السيارة إلى الشاطئ. | [ˈwiː ˈdɹəʊ̯v tʰʊ ðə ˈbiːt͡ʃ] | [wi ˈdɹəʊ̯v tə ðə ˈbiːt͡ʃ]
