Japanese::N2::~次第 | 資料が届き次第、ご連絡いたします。 | I will contact you as soon as the documents arrive. | [ɕi.ɾjoː ɡa to.do.ki ɕi.da.i ɡo.ɾe.ɲ.ɾa.kɯ i.ta.ɕi.ma.sɯ] | [ɕi.ɾjoː to.do.ki̥ ɕi.da.i ɡo.ɾe.ɲ.ɾa.kɯ i.ta.ɕi.ma.sɯ]
Japanese::N2::~次第 | 準備ができ次第、出発しましょう。 | Let's set off as soon as we're ready. | [dʑɯ.ɲ.bi ɡa de.ki ɕi.da.i ɕɯ.p.pa.t͡sɯ ɕi.ma.ɕoː] | [dʑɯ.ɲ.bʲi de.kʲi ɕi.da.i ɕɯ.p.pa.t͡sɯ.ɕi.ma.ɕoː]
Japanese::N2::~次第 | 結果は本人の努力次第だ。 | The outcome depends on the person's own effort. | [ke.ka wa ho.ɲ.ni.ɲ no do.ɾjo.kɯ ɕi.da.i da] | [ke.ka ho.ni.ɲ no do.ɾjo.kɯ ɕi.da.i da]
Japanese::N2::~次第 | 成功するかどうかは運次第だ。 | Whether it succeeds or not is a matter of luck. | [seː.koː sɯ.ɾɯ ka doː.ka wa ɯ.ɲ ɕi.da.i da] | [seː.koː sɯ.ɾɯ ka doː.ka wa ɯ.ɲ ɕi.da.i da]
Japanese::N2::~次第 | 席が空き次第、ご案内いたします。 | We will show you to your seat as soon as one becomes available. | [se.ki ɡa a.ki ɕi.da.i ɡo.a.ɲ.na.i i.ta.ɕi.ma.sɯ] | [se.kʲi a.kʲi ɕi.da.i ɡo.a.ɲ.na.i i.ta.ɕi.ma.sɯ]
Japanese::N2::~次第 | 詳細が分かり次第、お知らせします。 | I'll let you know as soon as the details are clear. | [ɕoː.sa.i ɡa wa.ka.ɾi ɕi.da.i o.ɕi.ɾa.se ɕi.ma.sɯ] | [ɕoː.sa.i wa.ka.ɾi ɕi.da.i o.ɕi.ɾa.se ɕi.ma.sɯ]
Japanese::N2::~次第 | 天気次第では、遠足は中止になるかもしれない。 | Depending on the weather, the outing might be cancelled. | [te.ɲ.ki ɕi.da.i de.wa e.ɲ.so.kɯ wa tɕɯː.ɕi ɲi na.ɾɯ ka.mo.ɕi.ɾe.na.i] | [te.ɲ.kʲi ɕi.da.i de.wa e.ɲ.so.kɯ tɕɯː.ɕi ɲi na.ɾɯ ka.mo.ɕi.ɾe.na.i]
Japanese::N2::~次第 | 空港に着き次第、電話します。 | I'll call you as soon as I arrive at the airport. | [kɯː.koː ni t͡sɯ.ki ɕi.da.i de.ɲ.wa ɕi.ma.sɯ] | [kɯː.koː ni t͡sɯ.kʲi ɕi.da.i de.ɲ.wa ɕi.ma.sɯ]
Japanese::N2::~次第 | 使い方次第で、この道具はとても便利になる。 | Depending on how you use it, this tool can be very handy. | [t͡sɯ.ka.i.ka.ta ɕi.da.i de ko.no doː.ɡɯ wa to.te.mo be.ɲ.ɾi ɲi na.ɾɯ] | [t͡sɯ.ka.i̥.ka.ta ɕi.da.i de ko.no doː.ɡɯ to.te.mo be.ɲ.ɾi ɲi na.ɾɯ]
Japanese::N2::~次第 | チケットが取れ次第、旅行の予定を立てます。 | I'll make travel plans as soon as I get the tickets. | [tʲi.ke.tːo ɡa to.ɾe ɕi.da.i rjo.koː no jo.te.i o ta.te.ɸ.ma.sɯ] | [tʲi.kʲe.tːo to.ɾe ɕi.da.i rjo.koː no jo.te.i ta.te.ɸ.ma.sɯ]
Japanese::N2::~次第 | 病状は今後の経過次第だと医者は言った。 | The doctor said the prognosis depends on how things progress. | [bʲoː.dʑoː wa ko.ɲ.ɡo no keː.ka ɕi.da.i da to i.ɕa wa i.tːa] | [bʲoː.dʑoː ko.ɲ.ɡo no keː.ka ɕi.da.i da to i.ɕa i.tːa]
Japanese::N2::~次第 | 商品が入荷次第、店頭に並べます。 | We'll put the items on display as soon as they arrive. | [ɕoː.çi.ɲ ɡa ɲɯː.ka ɕi.da.i te.ɲ.toː ni na.ɾa.be.ma.sɯ] | [ɕoː.çi.ɲ ɲɯː.ka ɕi.da.i te.ɲ.toː ni na.ɾa.be.ma.sɯ]
